非晶态装甲云	Nimboarmadura amorfa
高级空中侦察单位。 能够维持机械王虫形态时所控制的单位上限。可以使用超距视界。<n/><n/><c val="FFE303">侦测单位</c>	Observador aéreo avanzado. Mantiene el máximo de unidades establecido por el Mecaamo Supremo. Puede usar Vigilancia.<n/><n/><c val="FFE303">Detector</c>
茧中包裹的机械王虫正在变形为一只机械眼虫。	Este capullo contiene un Mecaamo supremo que está transformándose en un Mecavigía supremo.
在超级盖瑞周围生成一片“爱心区域”，持续<d ref="Effect,PowerFieldSuperGaryStetmannCP,PeriodicPeriodArray[1]"/>秒。	Genera una Stetzona alrededor de Súper Gary durante <d ref="Effect,PowerFieldSuperGaryStetmannCP,PeriodicPeriodArray[1]"/> segundos.
超载目标艾星，使其主动为附近的单位提供加成效果，该效果受当前“爱心区域”设定影响。超载效果持续<d ref="Behavior,PowerTowerOverchargeStetmann,Duration"/>秒。<n/>- <c val="ffff8a">“艾的急切”超载</c>给予<d ref="(Behavior,FASTOverloadStetmann,Modification.AttackSpeedMultiplier-1)*100"/>%攻击速度加成，持续<d ref="Behavior,FASTOverloadStetmann,Duration"/>秒。<n/>- <c val="ffff8a">“艾的呵护”超载</c>给予一个护盾，吸收<d ref="Behavior,HUGSOverloadStetmann,DamageResponse.ModifyLimit"/>点伤害，持续<d ref="Behavior,HUGSOverloadStetmann,Duration"/>秒。<n/>- <c val="ffff8a">“艾的滋润”超载</c>在<d ref="Behavior,JUICEOverloadStetmann,Duration"/>秒内恢复<d ref="Behavior,JUICEOverloadStetmann,Modification.VitalRegenArray[Energy]*Behavior,JUICEOverloadStetmann,Duration"/>点艾能和能量。	Sobrecarga un Stetélite objetivo para que otorgue activamente bonificaciones a las unidades cercanas de acuerdo a la configuración de Stetzona actual. El efecto de Sobrecarga dura <d ref="Behavior,PowerTowerOverchargeStetmann,Duration"/> segundos.<n/>- <c val="ffff8a">Sobrecarga de A.G.I.L.</c> otorga un <d ref="(Behavior,FASTOverloadStetmann,Modification.AttackSpeedMultiplier-1)*100"/>% más de velocidad de ataque durante <d ref="Behavior,FASTOverloadStetmann,Duration"/> segundos.<n/>- <c val="ffff8a">Sobrecarga de A.M.O.R.</c> otorga un escudo que absorbe <d ref="Behavior,HUGSOverloadStetmann,DamageResponse.ModifyLimit"/> de daño durante <d ref="Behavior,HUGSOverloadStetmann,Duration"/> segundos.<n/>- <c val="ffff8a">Sobrecarga de F.U.E.R.Z.A.</c> regenera <d ref="Behavior,JUICEOverloadStetmann,Modification.VitalRegenArray[Energy]*Behavior,JUICEOverloadStetmann,Duration"/> de egonergía y energía durante <d ref="Behavior,JUICEOverloadStetmann,Duration"/> segundos.
提供可以增强附近友方单位属性的“爱心区域”。可以在超载后主动进一步增强附近的单位。	Otorga Stetzonas que amplifican los atributos de las unidades aliadas cercanas. Puede sobrecargarse para que potencie aún más a las unidades cercanas activamente.
在目标位置部署一颗艾星。艾星必须放置在“爱心区域”中。	Despliega un Stetélite en la ubicación objetivo. Los Stetélites deben colocarse dentro de una Stetzona.
将变形产生的工作单位和机械王虫派往指定地点。派往矿脉和机械萃取房的工作单位会自动开始采集。	Envía a las unidades trabajadoras y a los Mecaamos supremos transformados al punto designado. Los trabajadores enviados a los campos de minerales o a los extractores iniciarán la recolección automáticamente.
将回收的单位派往指定地点。	Envía a las unidades recicladas al punto designado.
远程火炮单位。可以使用“环境危害性喷发”。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Artillería de largo alcance. Puede usar Erupción dañina para el medioambiente.<n/><n/><c val="#ColorAttackInfo">Ataca a unidades terrestres.</c>
茧中包裹的机械蟑螂正在变形为一只机械破坏者。	Este capullo contiene una Mecacucaracha que se está transformando en un Mecadevastador.
朝目标位置发射一枚飞弹，撞击后对该范围内的敌方单位造成<d ref="Effect,RavagerStetmannCorrosiveBileAoEDamage,Amount"/>点伤害。<n/><n/><c val="#ColorAttackInfo">可以摧毁星灵力场。</c>	Lanza un misil hacia la ubicación objetivo e inflige <d ref="Effect,RavagerStetmannCorrosiveBileAoEDamage,Amount"/> de daño a las unidades enemigas que están en el área de impacto.<n/><n/><c val="#ColorAttackInfo">Puede destruir los campos de fuerza protoss.</c>
一小段时间后孵化出机械破坏者。	Eclosiona y da origen a un Mecadevastador después de un período corto.
允许<c val="ffff8a">机械爆虫</c>爆炸时可以将其当前拥有的艾能值算入伤害中。	Permite que el <c val="ffff8a">Mecauetzi</c> aporte su egonergía actual a su daño cuando explote.
提高<c val="ffff8a">机械爆虫</c>艾能轰击屏障吸收的伤害量，每点艾能吸收<d ref="$UpgradeEffectArrayValue:BanelingStetmannManaShieldBonus:Behavior,BanelingStetmannManaShield,Modification.EnergyDamageRatioBonus$+Behavior,BanelingStetmannManaShield,Modification.EnergyDamageRatioBonus"/>点伤害。	Aumenta el daño que absorbe la Barrera de impacto de egonergía del <c val="ffff8a">Mecauetzi</c> a <d ref="$UpgradeEffectArrayValue:BanelingStetmannManaShieldBonus:Behavior,BanelingStetmannManaShield,Modification.EnergyDamageRatioBonus$+Behavior,BanelingStetmannManaShield,Modification.EnergyDamageRatioBonus"/> de daño por punto de egonergía.
<c val="ffff8a">机械爆虫</c>的移动速度提高<d ref="$UpgradeEffectArrayValue:BanelingStetmannMovementSpeed:Unit,BanelingStetmann,Speed$/Unit,BanelingStetmann,Speed*100"/>%，并使其可以跃向敌方单位。	Aumenta la velocidad de movimiento de los <c val="ffff8a">Mecauetzis</c> un <d ref="$UpgradeEffectArrayValue:BanelingStetmannMovementSpeed:Unit,BanelingStetmann,Speed$/Unit,BanelingStetmann,Speed*100"/>% y les permite saltar hacia las unidades enemigas.
使<c val="ffff8a">机械腐化者</c>可以喷射一股降解液体，持续对敌方地面单位造成毁灭性伤害。	Permite que el <c val="ffff8a">Mecacorruptor</c> lance un chorro solvente que inflige un daño devastador con el tiempo a las unidades terrestres enemigas.
使<c val="ffff8a">机械刺蛇</c>将其对空脊针武器替换为威力更强的“博学飞弹”武器。	Permite que el <c val="ffff8a">Mecahidralisco</c> reemplace su arma antiaérea Espina punzante con el armamento más poderoso Lanzamisiles de erudición.
<c val="ffff8a">机械刺蛇</c>的移动速度提高<d ref="$UpgradeEffectArrayValue:HydraliskStetmannMovementSpeed:Unit,HydraliskStetmann,Speed$/Unit,HydraliskStetmann,Speed*100"/>%。	Aumenta la velocidad de movimiento de los <c val="ffff8a">Mecahidralisco</c> un <d ref="$UpgradeEffectArrayValue:HydraliskStetmannMovementSpeed:Unit,HydraliskStetmann,Speed$/Unit,HydraliskStetmann,Speed*100"/>%.
<c val="ffff8a">机械刺蛇</c>的对空武器射程增加<d ref="$UpgradeEffectArrayValue:HydraliskStetmannRange:Weapon,HydraliskHellfireMissilesStetmann,Range$"/>。	Aumenta el alcance del arma antiaérea del <c val="ffff8a">Mecahidralisco</c> en <d ref="$UpgradeEffectArrayValue:HydraliskStetmannRange:Weapon,HydraliskHellfireMissilesStetmann,Range$"/>.
<c val="ffff8a">机械潜伏者</c>的“恐怖钻击算法”的最大射程增加<d ref="$UpgradeEffectArrayValue:LurkerStetmannTunnelingBurstRange:Effect,LurkerStetmannTunnelingBurstCU,SpawnRange$-Effect,LurkerStetmannTunnelingBurstCU,SpawnRange"/>。	Aumenta el alcance máximo del Algoritmo de túnel del TERROR del <c val="ffff8a">Mecacechador</c> en <d ref="$UpgradeEffectArrayValue:LurkerStetmannTunnelingBurstRange:Effect,LurkerStetmannTunnelingBurstCU,SpawnRange$-Effect,LurkerStetmannTunnelingBurstCU,SpawnRange"/>.
提高<c val="ffff8a">机械王虫</c>和<c val="ffff8a">机械眼虫</c>的移动速度。	Aumenta la velocidad de movimiento de los <c val="ffff8a">Mecaamos supremos</c> y <c val="ffff8a">Mecavigías supremos</c>.
使<c val="ffff8a">机械王虫</c>可以运输单位。	Permite que los <c val="ffff8a">Mecaamos supremos</c> transporten unidades.
允许<c val="ffff8a">机械雷兽</c>的定向潜地冲锋技能可以击晕一大片区域内的敌方机械地面单位。	Permite que la habilidad Ataque enterrado vectorizado del <c val="ffff8a">Mecaultralisco</c> aturda a las unidades mecánicas terrestres enemigas en un área grande.
<c val="ffff8a">机械跳虫</c>的攻击速度提高<d ref="(Behavior,ZerglingAttackSpeedStetmann,Modification.AttackSpeedMultiplier-1)*100"/>%。每次攻击消耗<d ref="Behavior,ZerglingAttackSpeedStetmann,DamageResponse.Cost.Vital[Energy]"/>点艾能。	Aumenta un <d ref="(Behavior,ZerglingAttackSpeedStetmann,Modification.AttackSpeedMultiplier-1)*100"/>% la velocidad de ataque de los <c val="ffff8a">Mecazergueznos</c>. Drena <d ref="Behavior,ZerglingAttackSpeedStetmann,DamageResponse.Cost.Vital[Energy]"/> de egonergía por ataque.
允许<c val="ffff8a">机械跳虫</c>受到的伤害减少至最多<d ref="Behavior,ZerglingHardenedShieldStetmann,DamageResponse.ClampMaximum"/>点。每次使用消耗<d ref="Behavior,ZerglingHardenedShieldStetmann,DamageResponse.Cost.Vital[Energy]"/>点艾能。	Permite que los <c val="ffff8a">Mecazergueznos</c> reduzcan el daño recibido a un máximo de <d ref="Behavior,ZerglingHardenedShieldStetmann,DamageResponse.ClampMaximum"/>. Drena <d ref="Behavior,ZerglingHardenedShieldStetmann,DamageResponse.Cost.Vital[Energy]"/> de egonergía por uso.
<c val="ffff8a">机械跳虫</c>的移动速度提高<d ref="$UpgradeEffectArrayValue:ZerglingStetmannMovementSpeed:Unit,ZerglingStetmann,Speed$/Unit,ZerglingStetmann,Speed*100"/>%。	Aumenta la velocidad de movimiento de los <c val="ffff8a">Mecazergueznos</c> un <d ref="$UpgradeEffectArrayValue:ZerglingStetmannMovementSpeed:Unit,ZerglingStetmann,Speed$/Unit,ZerglingStetmann,Speed*100"/>%.
使<c val="ffff8a">机械潜伏者</c>可以将火力集中于目标单位，对该单位周围的一个小区域造成<d ref="Effect,LurkerStetmannChannelingSpinesDamage,Amount"/>点伤害，持续<d ref="Effect,LurkerStetmannChannelingSpinesCP,PeriodCount*Effect,LurkerStetmannChannelingSpinesCP,PeriodicPeriodArray[0]"/>秒或者直到该单位被摧毁。	Permite que el <c val="ffff8a">Mecacechador</c> concentre su ataque en una unidad objetivo, lo que inflige <d ref="Effect,LurkerStetmannChannelingSpinesDamage,Amount"/> de daño en un área pequeña alrededor de esa unidad durante <d ref="Effect,LurkerStetmannChannelingSpinesCP,PeriodCount*Effect,LurkerStetmannChannelingSpinesCP,PeriodicPeriodArray[0]"/> segundos o hasta destruir la unidad.
给予<c val="ffff8a">机械雷兽</c><d ref="100-(Behavior,ChitinousPlatingStetmann,DamageResponse.ModifyFraction*100)"/>%伤害减免。	Otorga un <d ref="100-(Behavior,ChitinousPlatingStetmann,DamageResponse.ModifyFraction*100)"/>% de reducción de daño al <c val="ffff8a">Mecaultralisco</c>.
给予<c val="ffff8a">机械雷兽</c>一项能力，使其可以从附近的敌方或友方机械单位身上吸收<d ref="Effect,UltraliskMechanicalLifeLeechStetmannDamage,Amount"/>点生命，并获得该数值总和的治疗量。	Otorga al <c val="ffff8a">Mecaultralisco</c> la capacidad de absorber <d ref="Effect,UltraliskMechanicalLifeLeechStetmannDamage,Amount"/> de vida de los enemigos cercanos o las unidades mecánicas aliadas para curarse por ese monto.
突击单位。潜地时能快速恢复生命值。<n/><n/><c val="ffff8a">可以对地。</c>	Unidad de asalto. Regenera vida rápidamente cuando está enterrada.<n/><n/><c val="ffff8a">Ataca a unidades terrestres.</c>
一小段时间后孵化出机械蟑螂。	Eclosiona y da origen a una Mecacucaracha después de un período corto.
机械蟑螂在潜地时能够以极快的速度恢复生命值。	La Mecacucaracha regenera vida muy rápidamente cuando está enterrada.
[PH] [NU] <c val="ffff8a">Enables:</c><n/>- Roaches from Larvae	<c val="ffff8a">Habilita:</c><n/>- Transformación de Larvas en Cucarachas
<c val="ffff8a">开启：</c><n/>- 使机械幼虫可以变形成机械跳虫<n/>- 使机械工蜂可以变形成机械脊针爬虫<n/>- 使机械工蜂可以变形成机械孢子爬虫	<c val="ffff8a">Habilita:</c><n/>- Transformación de Mecalarvas en Mecazergueznos<n/>- Transformación de Mecaobreros en Mecarrastreros punzantes<n/>- Transformación de Mecadrones en Mecarrastreros lanzaesporas
使机械脊针爬虫扎根。扎根的脊针爬虫能够攻击地面单位，但无法移动。	Arraiga al Mecarrastrero punzante. Un Rastrero punzante arraigado tiene la habilidad de atacar a unidades terrestres, pero no puede moverse.
对地防御建筑。<n/><n/><c val="ffff8a">可以对地。</c>	Estructura defensiva antiterrestre. <n/><n/><c val="ffff8a">Ataca a unidades terrestres.</c>
建造机械分裂池可使机械工蜂变异为机械脊针爬虫。	El Mecaestanque de engendración te permite que los Mecaobreros muten en Mecarrastreros punzantes.
使机械脊针爬虫站起。站起的机械脊针爬虫能够移动，但无法攻击。	Desarraiga al Mecarrastrero punzante. Un Mecarrastrero punzante desarraigado puede moverse pero no atacar.
站起的对地防御建筑。站起后能够移动，但无法攻击。	Estructura defensiva antiterrestre desenterrada. Puede moverse cuando se desarraiga, pero no puede atacar.
为机械异虫空中单位提供升级方案。可以变形成机械巨型尖塔。<n/><n/><c val="ffff8a">开启：</c><n/>- 使机械幼虫可以变形成机械腐化者	Contiene mejoras para unidades mecazerg aéreas. Puede mutar en una Mecaespira mayor.<n/><n/><c val="ffff8a">Habilita:</c><n/>- Transformación de Mecalarvas en Mecacorruptores
使机械孢子爬虫扎根。扎根的机械孢子爬虫可以攻击空中单位和侦测隐形单位，但无法移动。	Arraiga al Mecarrastrero lanzaesporas. Un Mecarrastrero lanzaesporas arraigado tiene la habilidad de atacar unidades aéreas y detectar unidades camufladas, pero no puede moverse.
防空建筑。<n/><n/><c val="ffff8a">可以对空。</c><n/><c val="FFE303">侦测单位</c>	Estructura defensiva antiaérea. <n/><n/><c val="ffff8a">Ataca a unidades aéreas.</c><n/><c val="FFE303">Detector</c>
建造机械分裂池可使机械工蜂变异为机械孢子爬虫。	El Mecaestanque de engendración te permite que los Mecaobreros muten en Mecarrastreros lanzaesporas.
使机械孢子爬虫站起。站起的机械孢子爬虫能够移动，但无法攻击。	Desarraiga al Mecarrastrero lanzaesporas. Un Mecarrastrero lanzaesporas desarraigado puede moverse pero no atacar.
站起的防空建筑。站起后能够移动，但无法攻击。	Estructura defensiva antiaérea desenterrada. Puede moverse cuando se desarraiga, pero no puede atacar.
该建筑可以同时研究两项升级。	Esta edificación puede investigar dos mejoras a la vez.
该单位生成的“爱心区域”可以增强附近友方单位的属性。	Esta unidad genera una Stetzona que amplifica los atributos de las unidades aliadas cercanas.
使艾星部署维持在基础水平。	Potencia el despliegue de Stetélites en un nivel básico.
使艾星部署维持在中等水平，降低其冷却时间并增加其最大使用次数。	Potencia el despliegue de Stetélites en un nivel moderado, lo que reduce su tiempo de recuperación y aumenta la cantidad máxima de cargas.
使艾星部署维持在最高水平，进一步降低其冷却时间并进一步增加其最大使用次数。	Potencia el despliegue de Stetélites en un nivel máximo, lo que reduce aún más su tiempo de recuperación y aumenta la cantidad máxima de cargas.
斯台特曼最好的朋友！可以使用E-Gorb、艾星超载、半稳定物质传送和盖瑞区域。<n/><n/><c val="#ColorAttackInfo">可以对空和对地。</c>	¡El mejor superamigo de Stetmann! Puede usar E-Gorbe, Sobercarga Stetelital, Transporte masivo semiestable y Gary-zona.<n/><n/><c val="#ColorAttackInfo">Ataca unidades terrestres y aéreas.</c>
盖瑞可以自行产生能量，并且不会受“爱心区域”被动加成效果的影响。他每秒恢复<d ref="Unit,SuperGaryStetmann,LifeRegenRate"/>点生命。	Gary genera su propia energía y no es afectado por las bonificaciones pasivas de una Stetzona. Regenera <d ref="Unit,SuperGaryStetmann,LifeRegenRate"/> de vida por segundo.
<c val="ffff8a">开启：</c><n/>- 使机械幼虫可以变形成机械雷兽	<c val="ffff8a">Habilita:</c><n/>- Transformación de Mecalarvas en Mecaultraliscos
重型攻击猛兽，可造成范围伤害。可以使用定向潜地冲锋和机甲揩油模组。<n/><n/><c val="ffff8a">可以对地。</c>	Bestia de asalto pesado. Tiene ataque con daño de área. Puede usar Ataque enterrado vectorizado y Módulo Mecalacra.<n/><n/><c val="ffff8a">Ataca a unidades terrestres.</c>
给予该单位<d ref="100-(Behavior,ChitinousPlatingStetmann,DamageResponse.ModifyFraction*100)"/>%伤害减免。	Otorga un <d ref="100-(Behavior,ChitinousPlatingStetmann,DamageResponse.ModifyFraction*100)"/>% de reducción de daño a la unidad.
潜地并冲向一个单位。从地面钻出时，邻近的所有敌方单位被击退并承受<d ref="Effect,UltraliskStetmannBurrowChargeTargetDamage,Amount"/>点伤害。	Se entierra y carga contra una unidad. Al desenterrarse, empuja hacia atrás e inflige <d ref="Effect,UltraliskStetmannBurrowChargeTargetDamage,Amount"/> de daño a todas las unidades enemigas cercanas.
