非晶态装甲云	무정형 방어구름
使<c val="ffff8a">凤凰</c>的射程提高2。	<c val="ffff8a">불사조</c>의 공격 사거리가 2만큼 증가합니다.
使<c val="ffff8a">幻影战机</c>的射程提高2。	<c val="ffff8a">신기루</c>의 사거리가 2만큼 증가합니다.
主要目标周围获得50%的治疗效果。	주 대상 주위의 아군의 체력을 50%만큼 회복시킵니다.
潜地并冲锋到目标位置，造成<d ref="Effect,ApocaliskBurrowChargeTargetDamage,Amount"/>点伤害，并击晕非英雄敌人<d ref="Behavior,ApocaliskBurrowChargeStun,Duration"/>秒。	대상 위치로 잠복 돌진하여 영웅이 아닌 적에게 <d ref="Effect,ApocaliskBurrowChargeTargetDamage,Amount"/>의 피해를 주고 <d ref="Behavior,ApocaliskBurrowChargeStun,Duration"/>초 동안 기절시킵니다.
拥有先进的瞄准和武器系统的维京原型机。	바이킹을 개조한 시험용 모델로서 개선된 조준 및 무기 체계를 갖추고 있습니다.
超低空飞行，向一条直线上的明确目标投掷大量炸弹。	저공 비행을 하면서 다량의 폭탄을 일직선으로 투하하여 목표물을 기습 공격합니다.
对轰击点附近进行机枪扫射。可连续进行快速扫射从而造成大量伤害。	기관총을 발사해 목표 지점에 범위 피해를 줍니다. 연속 발사하여 막대한 피해를 줄 수 있습니다.
准备进行机枪扫射。	기관총 발사를 준비합니다.
标记一个目标并发射一枚导弹。对轰击点附近造成范围伤害。可连续进行快速扫射从而造成大量伤害。	목표 위치를 표시하고 그곳으로 미사일 하나를 날립니다. 충돌 지점에 범위 피해를 줍니다. 빠른 연속 공격으로 막대한 피해를 줄 수 있습니다.
从引擎喷发出来的冲击可以击退接近的单位。	엔진을 짧게 분사하여 유닛을 밀쳐냅니다.
莫比斯版本的大天使，搭载了实验性武器。	시험용 무기를 장착한 뫼비우스 대천사 변종입니다.
摧毁一个混合体静滞舱。	혼종 정지장 보관소를 파괴합니다.
强大的灵能攻击者。能够使用能量反蚀和灵能风暴技能。<n/><n/><c val="ffff8a">可以对地和对空。</c>	강력한 사이오닉 에너지로 공격합니다. 환류와 사이오닉 폭풍을 사용할 수 있습니다.<n/><n/><c val="ffff8a">지상 및 공중 유닛 공격 가능</c>
使对空武器射程提高3，对地武器射程提高1。	대공 무기의 사거리가 3만큼, 지상 무기의 사거리가 1만큼 증가합니다.
使对空射程提高2，对地射程提高1。	공중 공격 사거리가 2만큼, 지상 공격 사거리가 1만큼 증가합니다.
降低敌人对<c val="ffff8a">死徒</c>的护盾造成的伤害。	적이 <c val="ffff8a">광신자</c>의 보호막에 주는 피해가 감소합니다.
晋升者文献馆能使你折跃晋升者。	승천자 기록보관소는 승천자를 소환할 수 있게 해줍니다.
献祭一名死徒可以完全恢复晋升者的能量。<n/><n/><c val="#ColorAttackInfo">只能对死徒使用。</c>	광신자를 희생시켜 승천자의 에너지를 다시 가득 채웁니다.<n/><n/><c val="#ColorAttackInfo">광신자만 대상으로 지정 가능</c>
命令选中的单位移动到目标地点，并对沿途遭遇的敌人发起攻击。收到攻击一个目标的命令后，单位会持续攻击该目标，直到对方被消灭。	선택한 지점으로 이동하며 도중에 만나는 적을 공격합니다. 공격 명령으로 유닛을 지정하면 지정한 유닛이 파괴될 때까지 공격합니다.
锁定并且攻击目标，直到超出射程或对方被摧毁。	공격 대상이 파괴되거나 사거리 밖으로 벗어날 때까지 공격합니다.
被感染的攻城坦克每<d ref="Behavior,InfestedSiegeTankAmmoAuto,Period"/>秒自动孵化一枚烈性生质。	감염된 공성 전차가 자동으로 <d ref="Behavior,InfestedSiegeTankAmmoAuto,Period"/>초마다 1발의 폭발성 생체 물질을 생성합니다.
孵化场、虫穴或主巢每<d ref="Behavior,AutoInjectLarva,Duration"/>秒自动孵化四只幼虫。	<d ref="Behavior,AutoInjectLarva,Duration"/>초마다 자동으로 부화장, 번식지, 또는 군락에 애벌레 네 마리를 생성합니다.
自动化防御炮塔。持续存在<d ref="Behavior,AutoTurret_BlackOpsTimedLife,Duration"/>秒。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	자동 방어 포탑입니다. <d ref="Behavior,AutoTurret_BlackOpsTimedLife,Duration"/>초 후에 사라집니다.<n/><n/><c val="#ColorAttackInfo">지상 및 공중 유닛 공격 가능</c>
<s val="Kicker_Refinery">+1</s><IMG path="Assets\Textures\icon-gas-protoss.dds" height="28" width="28"/>	<s val="Kicker_Refinery">+1</s><IMG path="Assets\Textures\icon-gas-protoss.dds" height="28" width="28"/>
吸纳舱可自动采集高能瓦斯，无需通过萨尔纳加先驱者。并提高25%的采集效率。<n/><n/><c val="ffff8a">被动技能。</c>	젤나가 선도자 없이 융화소에서 베스핀 가스를 자동으로 채취합니다.<n/><n/><c val="ffff8a">지속 능력</c>
<s val="Kicker_Refinery">+1</s><IMG path="Assets\Textures\icon-gas-terran.dds" height="28" width="28"/>	<s val="Kicker_Refinery">+1</s><IMG path="Assets\Textures\icon-gas-terran.dds" height="28" width="28"/>
呼叫5架隐形的黄昏之翼，向空降区域内所有敌人造成50点伤害。黄昏之翼可以被控制并作战，持续<d ref="Behavior,BansheeAirstrikeTimedLife,Duration"/>秒。	은폐된 그늘날개 5기를 투하하여 강하 지점에 있는 적에게 50의 피해를 줍니다. <d ref="Behavior,BansheeAirstrikeTimedLife,Duration"/>초 동안 그늘날개를 조종하여 적을 공격할 수 있습니다.
强化版战术打击飞行器。可以在升级后永久隐形。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	향상된 전술 타격기입니다. 업그레이드하면 영구 은폐 상태가 됩니다.<n/><n/><c val="#ColorAttackInfo">지상 유닛 공격 가능</c>
对目标区域内的敌方地面单位造成<d ref="Effect,Banshee_BlackOpsAirstrikeDamage,Amount"/>点伤害。	대상 지역의 적 지상 유닛들에게 <d ref="Effect,Banshee_BlackOpsAirstrikeDamage,Amount"/>의 피해를 줍니다.
持续轰炸目标区域，不断地对敌方地面和空中单位造成<d ref="Effect,BileLauncherZagaraBombardmentDamage,Amount"/>点伤害。	표적 구역을 지속적으로 포격하여 적진과 공중 유닛에 반복적으로 <d ref="Effect,BileLauncherZagaraBombardmentDamage,Amount"/>의 피해를 줍니다.
喷射胆汁轰炸目标区域，伤害区域内的地面和空中单位。	대상 지점에 담즙을 퍼부어 지상 및 공중 유닛에게 피해를 줍니다.
治疗友方一名生物或机械目标。	아군 생체 및 기계 대상을 치유합니다.
为一个单位或建筑进行持续的治疗，共恢复<d ref="Effect,QueenBurstHeal,VitalArray[Life].Change*(Behavior,QueenBurstHeal,Duration +.07)/Behavior,QueenBurstHeal,Period"/>点生命值。	유닛 또는 구조물의 체력을 지속적으로 <d ref="Effect,QueenBurstHeal,VitalArray[Life].Change*(Behavior,QueenBurstHeal,Duration +.07)/Behavior,QueenBurstHeal,Period"/>만큼 회복시킵니다.
速效哺液的治疗量提高10点，现在可以对机械单位和建筑使用。	급속 수혈의 치유량이 10만큼 증가하고 기계 유닛 및 구조물도 대상으로 지정할 수 있습니다.
单位获得<d ref="Behavior,BiomassBuff100,Modification.VitalMaxAdditiveMultiplierArray[Life]*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%的生命值和<d ref="Behavior,BiomassBuff100,Modification.AdditiveAttackSpeedFactor*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%的攻击速度。	유닛의 체력이 <d ref="Behavior,BiomassBuff100,Modification.VitalMaxAdditiveMultiplierArray[Life]*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%만큼, 공격 속도가 <d ref="Behavior,BiomassBuff100,Modification.AdditiveAttackSpeedFactor*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%만큼 증가합니다.
单位获得<d ref="Behavior,BiomassBuff100,Modification.VitalMaxAdditiveMultiplierArray[Life]*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%的生命值, <d ref="Behavior,BiomassBuff100,Modification.AdditiveAttackSpeedFactor*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%的攻击速度, 和<d ref="Behavior,AbathurPropArmor,Modification.LifeArmorBonus*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%的护甲。	유닛의 체력이 <d ref="Behavior,BiomassBuff100,Modification.VitalMaxAdditiveMultiplierArray[Life]*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%, 공격 속도가 <d ref="Behavior,BiomassBuff100,Modification.AdditiveAttackSpeedFactor*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%, 방어력이 <d ref="Behavior,AbathurPropArmor,Modification.LifeArmorBonus*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>% 증가합니다.
单位获得<d ref="Behavior,BiomassBuff100,Modification.VitalMaxAdditiveMultiplierArray[Life]*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%的生命值, <d ref="Behavior,BiomassBuff100,Modification.AdditiveAttackSpeedFactor*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%的攻击速度, <d ref="Behavior,AbathurPropArmor,Modification.LifeArmorBonus*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%的护甲, 和<d ref="Behavior,BiomassBuff100,Modification.VitalDamageLeechArray[Life].KindArray[Melee]*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%的生质汲取。	유닛의 체력이 <d ref="Behavior,BiomassBuff100,Modification.VitalMaxAdditiveMultiplierArray[Life]*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%, 공격 속도가 <d ref="Behavior,BiomassBuff100,Modification.AdditiveAttackSpeedFactor*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%, 방어력이 <d ref="Behavior,AbathurPropArmor,Modification.LifeArmorBonus*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%, 생체 흡수가 <d ref="Behavior,BiomassBuff100,Modification.VitalDamageLeechArray[Life].KindArray[Melee]*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>% 증가합니다.
该单位可以通过击杀敌方单位搜集生物质来获得能量。	이 유닛은 죽은 적 유닛으로부터 생체 물질을 수집해 힘을 얻을 수 있습니다.
单位获得<d ref="Behavior,BiomassBuff100,Modification.VitalMaxAdditiveMultiplierArray[Life]*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%的生命值、<d ref="Behavior,BiomassBuff100,Modification.AdditiveAttackSpeedFactor*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%的攻击速度以及<d ref="Behavior,BiomassBuff100,Modification.VitalRegenMultiplier[Energy]*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%的能量恢复。	유닛의 체력이 <d ref="Behavior,BiomassBuff100,Modification.VitalMaxAdditiveMultiplierArray[Life]*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%만큼, 공격 속도가 <d ref="Behavior,BiomassBuff100,Modification.AdditiveAttackSpeedFactor*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%만큼, 에너지 재생이 <d ref="Behavior,BiomassBuff100,Modification.VitalRegenMultiplier[Energy]*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%만큼 증가합니다.
单位获得<d ref="Behavior,BiomassBuff100,Modification.VitalMaxAdditiveMultiplierArray[Life]*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%的生命值、<d ref="Behavior,BiomassBuff100,Modification.AdditiveAttackSpeedFactor*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%的攻击速度、<d ref="Behavior,BiomassBuff100,Modification.VitalRegenMultiplier[Energy]*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%的能量恢复以及<d ref="Behavior,BiomassBuff100,Modification.VitalDamageLeechArray[Life].KindArray[Melee]*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%的生质汲取。	유닛의 체력이 <d ref="Behavior,BiomassBuff100,Modification.VitalMaxAdditiveMultiplierArray[Life]*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%만큼, 공격 속도가 <d ref="Behavior,BiomassBuff100,Modification.AdditiveAttackSpeedFactor*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%만큼, 에너지 재생이 <d ref="Behavior,BiomassBuff100,Modification.VitalRegenMultiplier[Energy]*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%만큼, 생체 흡수가 <d ref="Behavior,BiomassBuff100,Modification.VitalDamageLeechArray[Life].KindArray[Melee]*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%만큼 증가합니다.
<s val="Kicker_Energy"><c val="0A9441">+3</c></c></c></c></c></c></s><img path="Assets\Textures\ui_research_frame_dna_frame_highlighted.dds" height="28" width="28"/>	<s val="Kicker_Energy"><c val="0A9441">+3</c></c></c></c></c></c></s><img path="Assets\Textures\ui_research_frame_dna_frame_highlighted.dds" height="28" width="28"/>
单位获得<d ref="Behavior,BiomassBuff100,Modification.VitalMaxAdditiveMultiplierArray[Life]*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%的生命值、<d ref="Behavior,BiomassBuff100,Modification.AdditiveAttackSpeedFactor*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%的攻击速度以及<d ref="Behavior,BiomassBuff100,Modification.VitalDamageLeechArray[Life].KindArray[Melee]*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%的生质汲取。	유닛의 체력이 <d ref="Behavior,BiomassBuff100,Modification.VitalMaxAdditiveMultiplierArray[Life]*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%만큼, 공격 속도가 <d ref="Behavior,BiomassBuff100,Modification.AdditiveAttackSpeedFactor*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%만큼, 생체 흡수가 <d ref="Behavior,BiomassBuff100,Modification.VitalDamageLeechArray[Life].KindArray[Melee]*(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>%만큼 증가합니다.
瞄准/取消瞄准特定的可拾取生物质的目标。	생체물질을 수집할 특정 유닛을 대상으로 지정하거나 지정 해제합니다. 어떤 유닛이 대상으로 지정되면 다른 유닛은 생체 물질을 수집할 수 없습니다.
