非晶态装甲云	Аморфное бронеоблако
装备脉冲手雷	Вооружиться импульсными гранатами
装备脉冲手雷被动	Вооружиться импульсными гранатами – пассивный эффект
装备超级强化剂	Использовать суперстимуляторы
建造闪光弹	Изготовить светошумовую гранату
战术空运	Тактический авиамост
未装备配装	Устройство не используется
未装备武器	Оружие не используется
诺娃奥丁歼灭	Аннигиляция «Одина» Новы
诺娃复活信标传送	Нова – возрождающий луч – телепортация
极速恢复	Мгновенная регенерация
眩晕无人机	Оглушающий модуль
潜行模式	Режим маскировки
建造防御矩阵	Построить защитную матрицу
锁定飞弹	Ослепляющие ракеты
战术聚变打击	Ядерный удар
建造烟雾弹	Изготовить дымовую гранату
装备霰弹步枪	Вооружиться карабином
装备地狱火霰弹枪	Вооружиться «Адским дробовиком»
装备改良式霰弹步枪	Вооружиться улучшенным карабином
穿透爆弹	Осколочный залп
装备常胜狙击枪	Вооружиться «Непокорным стрелком»
装备单分子光刀	Вооружиться мономолекулярным мечом
装备灵能步枪	Вооружиться пси-винтовкой
换装	Замена оборудования
战术聚变打击和全息诱饵	Ядерный удар и голографический двойник
奥丁突杀	Рывок «Одина»
奥丁获得弹幕	«Один» получает способность «Артобстрел»
建造奥丁MKII	Построить «Один II»
变异为虫道网络欧米茄	Мутировать в омега-сеть
轨道吸纳舱	Орбитальный ассимилятор
空投：补给站	Вызов хранилища
轨道空投	Орбитальные десантные капсулы
命令运载车辆撤退	Вернуть грузовик
