非晶态装甲云	無定型防護雲
原始蠕虫	原生蠕蟲
先知视野	先知視野
升级星灵护甲等级1	升級神族的裝甲等級1
升级星灵护甲等级2	升級神族的裝甲等級2
升级星灵护甲等级3	升級神族的裝甲等級3
升级星灵武器等级1	升級神族的武器等級1
升级星灵武器等级2	升級神族的武器等級2
升级星灵武器等级3	升級神族的武器等級3
净化光束	淨化光束
纯粹意志	純粹意志
变异为后虫	變形為后蟲
视觉共生体	視覺共生
孵化巢虫	孵化寄生蟲
刀锋女王	刀鋒女皇
设定集结点	設定集結點
指引传奇军团	引導傳說軍團
快速轰炸	快速砲擊
进化急速孵化	進化快速孵化
破坏者	劫毀蟲
隐秘检伤	隱密維修
折跃萨尔纳加禁绝者	躍傳薩爾納加廢止者
紧急召回	緊急傳送
重构光束	修復光束
重构	重組再生
神器强化：反射护盾	神器強化：反射護盾
再生型生物钢	活性生化鋼鐵
修理德拉肯激光钻机	修復達肯雷射鑽洞機
补充寡妇雷	補充寡婦詭雷
研究330毫米口径弹幕火炮	研發330毫米彈幕加農砲
研究隐秘剧毒巢穴	研發隱匿毒液蟲巢
研究改良版剧毒巢穴	研發強化毒液蟲巢
研究加压腺体	研發增壓腺體
研究异龙生命值提高升级	研發飛螳比例生命值升級
进化网状化甲壳	進化連鎖蟲殼
研究蟑螂射程提高升级	研發蟑螂比例攻擊距離升級
研究额外锁定目标	研發額外鎖定目標
研究灵能投射	研發幽能延伸
研究使徒阴影负面效果	研發幽影之觸
研究高级治疗AI	研發進階治療A.I.
研究盛气凌人	研發霸氣逼人
研究空域追踪	研發對空鎖定
研究快速能量循环	研發快速能量循環
研究心灵传动	研發心靈傳動
研究血水晶共鸣	研發血岩晶體共振
研究势不可挡	研發能量激發
研究混乱调和	研發混沌同調
混乱调和	混沌同調
研究力场冲击	研發能量震盪
研究灵魂强化	研發靈魂強化
研究侦测弱点	研發偵測弱點
研究物质散化	研發物質散射
研究疯狂超载	研發狂怒超載
研究阿瑞斯级瞄准系统	研發戰神級瞄準系統
研究自行裂生	研發自動分裂
研究隐形力场	研發匿蹤力場
研究火箭弹幕	研發火箭彈幕
研究强化屏障	研發強化能量屏障
研究光束反弹	研發光束彈跳
研究闪现充能	研發多次瞬移
研究闪现	研發瞬移
研究相位反应堆	研發相位反應爐
研究闪现护盾升级	研發瞬移護盾升級
研究支撑性机械外骨骼	研發加固裝甲
研究全能钢地堡	研發複合鋼碉堡
研究光子炸弹	研發光子炸彈
研究修理无人机	研發自動維修機
研究地狱犬地雷	研發地獄犬詭雷
研究时空光束	研發加速光束
研究云状散化	研發蟲雲噴散
研究干扰网	研發癱瘓電網
研究潜行驾驶	研發匿蹤引擎
研究隐秘检伤	研發隱密維修
研究阿古斯水晶	研發阿格斯水晶
研究精神控制	研發心靈控制
研究黑暗圣堂武士召回	研發召回黑暗聖堂武士
研究防御矩阵	研發防禦矩陣
进化野蛮冲锋	進化殘暴衝鋒
进化治疗适性	進化再生適應力
研究蜘蛛雷	研發蜘蛛詭雷
研究毁灭光束	研發毀滅光束
研究衰变	研發崩解
研究偏转力场	研發位移力場
研究双重引力光束	研發雙重重力子光束
研究万亿压缩系统	研發高密度合金系統
研究奇点充能	研發強力充能
升级1级激光钻机	升級雷射鑽洞機等級1
升级2级激光钻机	升級雷射鑽洞機等級2
研究双熔切焊枪	研發雙核熔焊接器
研究回收	研發取回控制
研究强化加工	研發先進製造程序
研究强化线粒体	研發高效粒線體
研究侦察协议	研發觀察程序
研究强击机	研發干擾機
研究压制程序	研發火力壓制程序
研究充能利刃	研發強化之刃
研究战斗感应器阵列	研發戰鬥感測序列
研究优化发射器	研發改良放射器
研究菲尼克斯 机械哨兵 虚相护盾 反射	研發菲尼克斯哨衛抑制之盾反彈
研究光子超载	研發光子充能
研究净化者武装	研發淨化者武裝
研究菲尼克 塔里斯 使徒攻击 弹射	研發菲尼克斯泰莉絲教士致命彈跳
研究 菲尼克斯 塔里斯 使徒护盾升级	研發菲尼克斯泰莉絲教士護盾升級
研究净化轰击	研發淨化砲擊
研究火焰光束	研發烈焰射線
研究消防系统	研發消防系統
研究火蝠	研發火焰兵
研究加固地堡	研發強化碉堡
研发G-4型集束炸弹	研發G-4型集束炸藥
研究EMP弹	研發電磁脈衝彈
研究三连击	研發三連狙擊
研究歌利亚武装机器人	研發巨人
研究射程调节	研發射程遞增
研发引力推进器	研發重力推進器
研究装载凝固汽油弹	研發汽油彈
研究爆燃液体	研發易燃液體
研究狂火炸药	研發野火炸藥
研究喷雾刺激发射器	研發戰鬥藥劑噴灑器
研究焦油炸弹	研發焦油彈
安装无人机机库	安裝無人機機棚
研究多线程传感器	研發多執行緒感應器
研究LE9型集束炸弹	研發LE9集束炸藥
研究喷气背包加力	研發噴射背包超載
研究战术跳跃	研發戰術躍傳
研究加固强化辅助型精钢护甲	研發強化改良版生化鋼鐵裝甲
研究撕裂弹	研發碎裂彈
研究狂暴飞弹	研發W.I.L.D.飛彈
研究处决飞弹	研發處決者飛彈
研究黑市发射器	研發黑市發射器
研究火控复检	研發擊發超馳裝置
研究未登记的隐形系统	研發不合法的匿蹤系統
研究超载反应堆	研發超載反應爐
研究隐身模块	研發匿蹤組件
研究能量潮涌	研發電漿融合
研究入侵繁殖	研發重度感染
研究地狱火装甲	研發地獄裝甲
研究喷气背包突击	研發噴射推進器突襲
研究恶火	研發惡狼
研究地狱风暴炮组	研發地獄風暴砲台
研究强化研究强化屏障	研發強化散射加農砲
研究高级攻城科技	研發強化攻城科技
研究KMC自动填弹装置	研發凱爾莫瑞亞自動填裝器
研发焚烧臂铠	研發焚化臂鎧
研究金甲虫机壳	研發聖甲蟲容納倉
研究太阳能负载	研發日炎甲蟲
研究再生型钢板	研發活性合金板
进化酸性酶	進化酸性酵素
研究震荡弹	研發震撼彈
研发铁人装甲	研發重型裝甲
研究引力跃迁弹射器	研發重力子躍傳彈射器
研究快速恢复	研發快速充能
研究强化瞄准	研發強化鎖定
研发心能水晶坠饰	研發凱達林水晶項鍊
研究激光瞄准系统	研發雷射瞄準系統
研究解放者防卫模式	研發解放者防禦者模式
研究解放者强化对空射程	研發解放者強化對空範圍
研究掠袭火炮	研發突擊砲轟
研究锁定飞弹	研發癱瘓飛彈
研究锁定	研發鎖定
研究漩流弹	研發漩渦彈
研究磁轨武器	研發磁軌武器
研究医疗兵	研發醫護兵
研究心灵爆裂	研發心靈震爆
研究多重锁定武器系统	研發多重鎖定系統
研究可装填式雷仓	研發補充式彈庫
研究压制弹	研發壓制彈
研究幽灵面罩	研發幽靈顯示鏡
研究闪光雷	研發閃光手榴彈
研究脉冲手雷	研發脈衝手榴彈
研究超级强化剂	研發超級戰鬥藥劑
研究诺娃强化版武器伤害	研發諾娃 - 強化武器傷害
研究作战效能	研發高效操作
研究地狱火霰弹枪	研發獄焰霰彈槍
研究改良式霰弹步枪	研發強化步槍
研究单分子光刀	研發分子光刀
研究静滞校正	研發靜滯校準
研究虫洞	研發蟲洞
研究末日炮塔	研發地獄砲台
研究相位模式	研發相位模式
研究福波斯武器系统	研發福波斯武器系統
研究校准棱镜	研發稜鏡校準
研究棱镜射程	研發長程稜鏡
研究灵能球	研發幽能光球
研习灵能风暴	研發幽能風暴
研究收割者	研發死神
研发蜘蛛雷	研發蜘蛛詭雷
研究紧急召回	研發緊急傳送
研究重构	研發重組再生
研究再生型生物钢	研發活性生化鋼鐵
研究共鸣之刃锁定	研發共振旋刃 - 未解鎖
研究复活	研發復活
研究破浪飞弹	研發波浪飛彈
进化1级感染	進化感染等級1
进化2级感染	進化感染等級2
研究训练2级被感染的陆战队员	研發訓練受感染的陸戰隊等級2
研究训练3级被感染的陆战队员	研發訓練受感染的陸戰隊等級3
研究训练4级被感染的陆战队员	研發訓練受感染的陸戰隊等級4
研究感染强化剂	研發受感染的戰鬥藥劑
进化病毒播洒	進化病毒擴散
研究相位爆裂	研發相位引爆
研究强化修理系统	研發進階修復系統
研究太阳耀斑	研發日炎閃焰
研究强化纳米修复	研發強化奈米修復
研究暗影执政官	研發暗影執政官
研究暗影光炮	研發暗影加農砲
研究暗影冲锋	研發暗影衝鋒
研究暗影之怒	研發暗影之怒
研究黑暗缠绕	研發暗影纏繞
研究定向冲击	研發固態衝擊
研究双重护盾修理	研發雙重護盾修復
研究护盾恢复	研發護盾充能
研究冲击波导弹巢	研發衝擊波飛彈發射器
研究尖牙炮塔	研發伯勞砲台
研究攻城坦克	研發攻城坦克
研究攻城坦克喷气背包	研發攻城坦克噴射推進器
研究相位闪现	研發相位閃現
进化切割之爪	進化削切之刃
研究太阳能利用率等级1	研發太陽能效率等級1
研究太阳能利用率等级2	研發太陽能效率等級2
研究太阳能利用率等级3	研發太陽能效率等級3
研究小队视野增益	研發強化同步視野
研发稳定剂医疗包	研發野戰急救包
研究强固屏障	研發防禦屏障
进化快速潜伏	進化快速冬眠
研究瞬时自动追踪	研發高警備自動追蹤
研究瞄准光学镜	研發雷射鎖定儀
研究科技反应堆	研發科技反應爐
研究战斧能源电池	研發戰斧動力核
研究三锂能源电池	研發三鋰動力核
研究聚变迫击炮	研發熱熔迫擊砲
研究高级光学	研發進階光學瞄準器
研究维京战机破浪飞弹	研發維京戰機的波浪飛彈
研究虚空静滞	研發虛空靜滯
研究折跃门充能	研發空間之門躍傳次數
研究旋风斩	研發旋風斬
研究脉冲增幅器	研發脈衝增幅器
研究高级隐形力场	研發進階匿蹤力場
神器强化：预判闪现	神器強化：預知瞬移
研究黑暗水晶塔	研發黑暗水晶塔
暴露弱点	暴露弱點
建造被感染的军械库	建造受感染的兵工廠
孵化被感染的女妖	孵化受感染的女妖轟炸機
建造被感染的兵营	建造受感染的兵營
地堡中的陆战队员	碉堡裡有陸戰隊
再生型钢板	活性合金板
建造被感染的指挥中心	建造受感染的指揮中心
孵化被感染的响尾蛇战车	孵化受感染的響尾蛇
建造被感染的工程站	建造受感染的電機工程所
建造被感染的重工厂	建造受感染的軍工廠
建造被感染的地堡	建造受感染的碉堡
孵化腔室	孵化室
孵化被感染的士兵	孵化受感染的士兵
孵化被感染的平民	孵化受感染的平民
感染强化剂	受感染的戰鬥藥劑
Infested Civilian Structure Increased Spawn Count Level 1	受感染的平民建築提高生成計數等級1
Infested Civilian Structure Increased Spawn Count Level 2	受感染的平民建築提高生成計數等級2
孵化被感染的解放者	孵化受感染的解放者
云状散化	蟲雲噴散
病毒播洒	病毒擴散
视网增强	強化視網膜
建造被感染的导弹塔	建造受感染的飛彈砲台
被感染的导弹塔	受感染的飛彈砲台
孵化王虫	孵化王蟲
孵化虫巢女王	孵化寄生后蟲
强化线粒体	高效粒線體
建造被感染的精炼厂	建造受感染的瓦斯精煉廠
孵化被感染的SCV	孵化受感染的太空工程車
孵化被感染的攻城坦克	孵化受感染的攻城坦克
增殖菌毯	散播蟲苔
建造被感染的星港	建造受感染的星際港
引爆感染体	引爆感染大軍
感染建筑	感染建築
进食饥渴	飢渴攝食
神经寄生	神經寄生
部署灵能发射器	設置幽能發射器
建造被感染的补给站	建造受感染的補給站
部署黑暗水晶塔	躍傳黑暗水晶塔
矩阵过载	矩陣超載
轨道轰炸	軌道砲擊
相位爆裂	相位引爆
死亡召回	瀕死傳送
强化修理系统	進階修復系統
部署暗影卫队	部署暗影護衛
太阳耀斑	日炎閃焰
太阳轰炸	日炎轟炸
塞布罗斯仲裁者战甲	賽博洛斯審判者機甲
激活塞布罗斯仲裁者战甲	賽博洛斯審判者機甲啟動
太阳能龙骑士战甲	日炎龍騎士機甲
激活太阳能龙骑士战甲	日炎龍騎士機甲啟動
全地图时空涌动	全地圖超次元加速
时间停止	時間靜滯
黑洞	黑洞
变异为爆蚊巢穴	突變為自殺蟲巢
剧毒孢子	劇毒孢子
运载车辆	運載單位
神器强化：感应器阵列	神器強化：感測序列
折跃保护者	躍傳保護者
虚相护盾	抑制之盾
保护者	保護者
折跃萨尔纳加光盾卫士	躍傳薩爾納加盾衛
削铁刃虫	截斷之刃
神器强化：阴影屏障	神器強化：幽影屏障
暗影光炮	暗影加農砲
强固屏障	防禦屏障
神器强化：护盾增强器	神器強化：護盾產生器
射程调节	射程遞增
喷气背包	噴射背包
杀戮者	屠敵者
范围性效果 精华 吸取	範圍性效果 - 精華 - 吸取
太阳能利用率等级1	太陽能效率等級1
太阳能利用率等级2	太陽能效率等級2
太阳能利用率等级3	太陽能效率等級3
折跃太阳锻炉	躍傳太陽能冶煉廠
孵化莽兽	孵化殘暴蟲
变异为孢子集群	突變為孢子殖穴
折跃萨尔纳加伏击者	躍傳薩爾納加伏擊者
星港的科技实验室研究2	星際港科技實驗室研發2
使用强化剂	使用戰鬥藥劑
建造被感染的高级建筑	建造進階受感染的建築
被腐化的大和炮	腐化的大和砲
建造被感染的建筑	建造受感染的建築
斯托科夫 合作任务 孵生不稳人类	斯杜科夫_合作任務_孵化易爆的人類
快速潜伏	快速冬眠
支撑性机械外骨骼	加固裝甲
奋战不懈	奮戰不懈
厌氧强化	瞬間體能強化
烈性生质	易爆生物質
斯托科夫 感染体 野性突变	斯杜科夫 - 感染大軍 - 狂野突變
机械部队攻击速度	機械單位攻擊速度
亚历山大号	亞歷克桑德號
末日巨兽	雷神獸
异虫变异	蟲族變形
自毁	自殺
召唤坑道虫欧米茄	召喚終極蠕蟲
召唤坑道虫	召喚地下蠕蟲
变异为潜隐集群	突變為地刺殖穴
超级生物钢	超級生化鋼鐵
强化加工	先進製造程序
超级机械折跃台	高階機械傳送門
超级折跃星门	高階星際傳送門
重建	重建
切换至突击模式	切換至突擊模式
移动暗示	移動建議
尖刺喷射	尖刺爆射
刺击	脊刺飛擊
战争配置	戰鬥模式
建造科技反应堆	建造科技反應爐
升级步兵护甲等级4	升級步兵的裝甲等級4
升级步兵武器等级4	升級步兵的武器等級4
升级战车及舰船钢板等级4	升級載具和船艦的合金板等級4
升级战车及舰船武器等级4	升級載具和船艦的武器等級4
地嗪采集	態化氫採集
超维空间炮	超立方加農砲
组织同化	組織同化
部署隐秘女妖	部署隱形女妖轟炸機
部署特战幽灵	部署特種幽靈特務
部署强击歌利亚	部署特攻巨人
建造攻击战斗机	建造攻擊轟炸機
攻击战斗机	攻擊轟炸機
部署恶蝠游骑兵	部署戰狼遊騎兵
招募雇佣兵	雇用傭兵
训练凯莫瑞安工人	訓練凱爾莫瑞亞工兵
部署掠袭解放者	部署突擊解放者
部署劫掠者突击手	部署特戰掠奪者
部署精英陆战队员	部署精英陸戰隊
医疗运输机黑色行动	秘密行動醫療艇
部署铁鸦II型	部署渡鴉二型
死神之首	鬼面部隊
部署重型攻城坦克	部署重型攻城坦克
转移共生体	轉移共生體
变形为机械折跃台	轉換為機械傳送門
变形为折跃星门	轉換為星際傳送門
KD9a型聚爆核心	KD9a內爆核心
购买KD9a型聚爆核心	購買KD9a內爆核心
购买凯莫瑞安碎甲弹	購買凱爾莫瑞亞開膛彈
钒钢弹壳	釩金彈
购买钒钢弹壳	購買釩金彈
建造猛男军械库	建造暴徒兵工廠
建造指挥中心	建造指揮中心
哈迪斯浮油	黑帝斯燃油
购买哈迪斯浮油	購買黑帝斯燃油
迈尔斯“布雷泽”刘易斯	「爆焰」邁爾斯‧路易士
