非晶态装甲云	Nube de blindaje amorfa
被暴捶的单位会在<d ref="Behavior,ImpalerDehakaTenderize,Duration"/>秒内受到<d ref="(Effect,ImpalerDehakaTenderizeDamage,Amount*Behavior,ImpalerDehakaTenderize,PeriodCount)"/>点伤害。被暴捶的单位如果被德哈卡吞噬会使正常的冷却时间减少25%。	Las unidades ablandadas reciben <d ref="(Effect,ImpalerDehakaTenderizeDamage,Amount*Behavior,ImpalerDehakaTenderize,PeriodCount)"/> de daño durante <d ref="Behavior,ImpalerDehakaTenderize,Duration"/> segundos. Las unidades ablandadas consumidas por Dehaka reducen un 75% el tiempo de reutilización de Devorar.
德哈卡恐吓附近的敌人，使其移动速度降低<d ref="Behavior,DehakaIntimidatingRoar,Modification.AdditiveMoveSpeedFactor * (-1 ) * 100" precision="2"/>% ，攻击速度降低<d ref="Behavior,DehakaIntimidatingRoar,Modification.AdditiveAttackSpeedFactor * (-1 ) * 100" precision="2"/>%，持续<d ref="Behavior,DehakaIntimidatingRoar,Duration"/>秒。	Dehaka aterra a los enemigos cercanos, lo que reduce un <d ref="Behavior,DehakaIntimidatingRoar,Modification.AdditiveMoveSpeedFactor * (-1 ) * 100" precision="2"/>% su velocidad de movimiento y un <d ref="Behavior,DehakaIntimidatingRoar,Modification.AdditiveAttackSpeedFactor * (-1 ) * 100" precision="2"/>% su velocidad de ataque durante <d ref="Behavior,DehakaIntimidatingRoar,Duration"/> segundos.
德哈卡恐吓附近的敌人，使其移动速度降低<d ref="Behavior,DehakaIntimidatingRoar,Modification.AdditiveMoveSpeedFactor * (-1 ) * 100" precision="2"/>% ，攻击速度降低<d ref="Behavior,DehakaIntimidatingRoar,Modification.AdditiveAttackSpeedFactor * (-1 ) * 100" precision="2"/>%，持续<d ref="Behavior,DehakaIntimidatingRoar,Duration"/>秒<n/>受到破胆咆哮影响的敌人无法使用消耗能量的技能。	Dehaka aterra a los enemigos cercanos, lo que reduce un <d ref="Behavior,DehakaIntimidatingRoar,Modification.AdditiveMoveSpeedFactor * (-1 ) * 100" precision="2"/>% su velocidad de movimiento y un <d ref="Behavior,DehakaIntimidatingRoar,Modification.AdditiveAttackSpeedFactor * (-1 ) * 100" precision="2"/>% su velocidad de ataque durante <d ref="Behavior,DehakaIntimidatingRoar,Duration"/> segundos.<n/>Los enemigos afectados por rugido intimidatorio no pueden usar habilidades que consuman energía.
德哈卡恐吓附近的敌人，使其移动速度降低<d ref="Behavior,DehakaIntimidatingRoar,Modification.AdditiveMoveSpeedFactor * (-1 ) * 100" precision="2"/>% ，攻击速度降低<d ref="Behavior,DehakaIntimidatingRoar,Modification.AdditiveAttackSpeedFactor * (-1 ) * 100" precision="2"/>%，持续<d ref="Behavior,DehakaIntimidatingRoar,Duration"/>秒<n/>受到破胆咆哮影响的敌人的护甲降低2点，而且无法使用消耗能量的技能。	Dehaka aterra a los enemigos cercanos, lo que reduce un <d ref="Behavior,DehakaIntimidatingRoar,Modification.AdditiveMoveSpeedFactor * (-1 ) * 100" precision="2"/>% su velocidad de movimiento y un <d ref="Behavior,DehakaIntimidatingRoar,Modification.AdditiveAttackSpeedFactor * (-1 ) * 100" precision="2"/>% su velocidad de ataque durante <d ref="Behavior,DehakaIntimidatingRoar,Duration"/> segundos.<n/>Los enemigos afectados por rugido intimidatorio tienen 2 menos de armadura y no pueden usar habilidades que consuman energía.
变异为异虫单位。	Muta en unidades zerg.
德哈卡跳向目标位置，对附近的敌方地面单位造成<d ref="$AccumulatedValue:Effect,DehakaStompDamageC,Amount$"/>点伤害。	Dehaka salta a la ubicación seleccionada e inflige <d ref="$AccumulatedValue:Effect,DehakaStompDamageC,Amount$"/> de daño a las unidades terrestres enemigas cercanas.
德哈卡跳向目标位置，对附近的敌方地面单位造成<d ref="$AccumulatedValue:Effect,DehakaStompDamageC,Amount$"/>点伤害。每击中一名敌人，德哈卡就获得<d ref="Behavior,DehakaLeapStompArmor,Modification.LifeArmorBonus"/>点护甲，持续<d ref="Behavior,DehakaLeapStompArmor,Duration"/>秒。	Dehaka salta a la ubicación seleccionada e inflige <d ref="$AccumulatedValue:Effect,DehakaStompDamageC,Amount$"/> de daño a las unidades terrestres enemigas cercanas. Cada enemigo golpeado otorga a Dehaka <d ref="Behavior,DehakaLeapStompArmor,Modification.LifeArmorBonus"/> de armadura durante <d ref="Behavior,DehakaLeapStompArmor,Duration"/> segundos.
你有尚未分配的突变点数。点击此处进行分配。	Tienes puntos de mutación sin gastar. Haz clic aquí para gastarlos.
升级所有原始异虫的护甲。	Mejora la armadura de todas las unidades zerg primigenias.
进一步升级所有原始异虫的护甲。	Mejora aún más la armadura de todas las unidades zerg primigenias.
使所有原始异虫的护甲最大化。	Maximiza la armadura de todas las unidades zerg primigenias.
升级所有原始异虫的攻击力。	Mejora los ataques de todas las unidades zerg primigenias.
进一步升级所有原始异虫的攻击力。	Mejora aún más los ataques de todas las unidades zerg primigenias.
使所有原始异虫的攻击力最大化。	Maximiza los ataques de todas las unidades zerg primigenias.
孵化自原始宿主。原始蝗虫持续<d ref="Behavior,DehakaLocustTimedLife,Duration"/>秒。<n/><n/><c val="ffff8a">可以对地。</c>	Las engendran los gestadores primigenios. Las langostas primigenias duran <d ref="Behavior,DehakaLocustTimedLife,Duration"/> segundos.<n/><n/><c val="ffff8a">Pueden atacar a unidades terrestres.</c>
原始蝗虫可以在目标位置着陆进行攻击。	La langosta primigenia aterriza en la ubicación seleccionada para atacar.
德哈卡附近的友方单位每秒恢复<d ref="Effect,DehakaMendingAuraHealA,VitalArray[Life].Change * 2"/>点生命值。	Sana <d ref="Effect,DehakaMendingAuraHealA,VitalArray[Life].Change * 2"/> de vida por segundo a todas las unidades aliadas cerca de Dehaka.
德哈卡附近的的友方单位每秒恢复<d ref="Effect,DehakaMendingAuraHealB,VitalArray[Life].Change * 2"/>点生命值。	Sana <d ref="Effect,DehakaMendingAuraHealB,VitalArray[Life].Change * 2"/> de vida por segundo a todas las unidades aliadas cerca de Dehaka.
德哈卡附近的的友方单位每秒恢复<d ref="Effect,DehakaMendingAuraHealC,VitalArray[Life].Change * 2"/>点生命值。	Sana <d ref="Effect,DehakaMendingAuraHealC,VitalArray[Life].Change * 2"/> de vida por segundo a todas las unidades aliadas cerca de Dehaka.
永恒的虫母。孵化掘地虫并吐出酸液来减缓对手的移动速度。	La madre eterna. Engendra propagadores y vomita ácido para ralentizar a sus víctimas.
让<c val ="ffff8a">掘地虫宿主</c>的掘地虫可以以空中单位为目标，并提高它们的移动速度。	Permite a los propagadores de los <c val ="ffff8a">gestadores propagadores</c> atacar a unidades aéreas y aumenta su velocidad de movimiento.
为原始异龙、原始守护者和掘地虫宿主提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在原始战争之巢中孵化原始宿主。	Tiene mejoras para los mutaliscos primigenios, los guardianes primigenios y los gestadores propagadores.<n/><n/><c val="ffff8a">Permite:</c><n/>- Gestadores primigenios en el vigía primigenio
召唤原始虫群首领穆尔瓦。穆尔瓦可以孵化蝗虫，还可以制造一团云雾减速敌人，并使其无法攻击和使用能量技能。穆尔瓦在回到巢穴前会持续战斗<d ref="Behavior,DehakaTopBarSummonTimedLife,Duration" player="current"/>秒。	Invoca a la líder de manada primigenia Murvar. Murvar engendra langostas y puede crear una nube que ralentiza a los enemigos y evita que las unidades y las estructuras enemigas ataquen o utilicen habilidades que consuman energía. Murvar luchará durante <d ref="Behavior,DehakaTopBarSummonTimedLife,Duration" player="current"/> segundos antes de regresar a su guarida.
飞行生物。能够利用弹射攻击对多个目标造成伤害。<n/><n/><c val="ffff8a">可以对地和对空。</c>	Unidad aérea que hace rebotar sus disparos para alcanzar a múltiples objetivos. <n/><n/><c val="ffff8a">Puede atacar a unidades aéreas y terrestres.</c>
原始异龙在移动时受到的伤害降低<d ref="Behavior,DehakaMutaliskDamageReduction,Modification.DamageTakenFraction[Melee]*(-100)" precision="1"/>%。	Los mutaliscos primigenios reciben un <d ref="Behavior,DehakaMutaliskDamageReduction,Modification.DamageTakenFraction[Melee]*(-100)" precision="1"/>% menos de daño mientras se mueven.
原始异龙在死亡后很快会复活。该效果每<d ref="Behavior,DehakaMutaliskTimerBehavior,Cost.Cooldown.TimeStart"/>秒最多触发一次。	Después de morir, los mutaliscos primigenios reviven tras un breve período. Esta acción no puede ocurrir más de una vez cada <d ref="Behavior,DehakaMutaliskTimerBehavior,Cost.Cooldown.TimeStart"/> segundos.
强力防御建筑。<n/><n/><c val="ffff8a">可以对地和对空。</c><n/><c val="FFE303">侦测单位</c>	Poderosa estructura defensiva.<n/><n/><c val="ffff8a">Puede atacar a unidades aéreas y terrestres.</c><n/><c val="FFE303">Detector</c>
强力临时防御蠕虫。<n/><n/><c val="ffff8a">可以对地和对空。</c><n/><c val="FFE303">侦测单位</c>	Poderosa guja dragón defensiva temporal.<n/><n/><c val="ffff8a">Puede atacar a unidades aéreas y terrestres.</c><n/><c val="FFE303">Detector</c>
对目标单位每秒造成<d ref="Effect,DehakaNydusDestroyerTimedNoFoodBeamDamage,Amount * (1 / Effect,DehakaNydusDestroyerTimedNoFoodBeamCP,PeriodicPeriodArray[0])"/>点伤害，持续<d ref="Effect,DehakaNydusDestroyerTimedNoFoodBeamCP,PeriodCount * Effect,DehakaNydusDestroyerTimedNoFoodBeamCP,PeriodicPeriodArray[0]"/>秒。	Inflige <d ref="Effect,DehakaNydusDestroyerTimedNoFoodBeamDamage,Amount * (1 / Effect,DehakaNydusDestroyerTimedNoFoodBeamCP,PeriodicPeriodArray[0])"/> de daño por segundo a la unidad seleccionada durante <d ref="Effect,DehakaNydusDestroyerTimedNoFoodBeamCP,PeriodCount * Effect,DehakaNydusDestroyerTimedNoFoodBeamCP,PeriodicPeriodArray[0]"/> segundos.
召唤强力临时防御蠕虫，可以侦测隐形和潜地单位。	Invoca una poderosa guja dragón defensiva temporal que puede detectar unidades invisibles y enterradas.
通过孵化掘地虫进行攻击的攻城单位。<n/><n/><c val="#ColorAttackInfo">掘地虫可以对地。</c>	Unidad de asedio que ataca engendrando propagadores.<n/><n/><c val="#ColorAttackInfo">Los propagadores pueden atacar a unidades terrestres.</c>
通过孵化掘地虫进行攻击的攻城单位。<n/><n/><c val="#ColorAttackInfo">掘地虫可以对地和对空。</c>	Unidad de asedio que ataca engendrando propagadores.<n/><n/><c val="#ColorAttackInfo">Los propagadores pueden atacar a unidades aéreas y terrestres.</c>
远程单位。可以远距离发射大量酸性液体。<n/><n/><c val="ffff8a">可以对地。</c>	Unidad a distancia. Dispara grandes globos de ácido a unidades terrestres y aéreas desde mucha distancia.<n/><n/><c val="ffff8a">Puede atacar a unidades terrestres.</c>
两只原始跳虫对决，幸存者可以进化为一只掠食龙。<n/><n/>远程单位。可以远距离发射大量酸性液体。<n/><n/><c val="ffff8a">可以对地。</c>	Dos zergling primigenios se enfrentan y el superviviente evoluciona en un ravasauro.<n/><n/>Unidad a distancia. Dispara grandes globos de ácido desde mucha distancia.<n/><n/><c val="ffff8a">Puede atacar a unidades terrestres.</c>
对重甲目标造成+<d ref="$UpgradeEffectArrayValue:DehakaRavasaurVSArmor:Effect,DehakaRavasaurDamage,AttributeBonus[Armored]$"/>点伤害。	Inflige +<d ref="$UpgradeEffectArrayValue:DehakaRavasaurVSArmor:Effect,DehakaRavasaurDamage,AttributeBonus[Armored]$"/> de daño contra objetivos blindados.
两只原始蟑螂对决，幸存者可以进化为一只原始守护者。<n/><n/>远程对地飞行单位。<n/><n/><c val="ffff8a">可以对地。</c>	Dos cucarachas primigenias se enfrentan y la superviviente evoluciona en un guardián primigenio.<n/><n/>Unidad voladora antiterrestre de largo alcance.<n/><n/><c val="ffff8a">Puede atacar a unidades terrestres.</c>
两只原始蟑螂对决，幸存者可以进化为一只原始点火虫。<n/><n/>突击单位。可造成范围伤害。潜地时能快速恢复生命值。<n/><n/><c val="ffff8a">可以对地。</c>	Dos cucarachas primigenias se enfrentan y la superviviente evoluciona en una incendiaria primigenia.<n/><n/>Unidad de asalto. Tiene un ataque de daño de área. Regenera vida rápidamente mientras está enterrada.<n/><n/><c val="ffff8a">Puede atacar a unidades terrestres.</c>
突击单位。可造成范围伤害。潜地时能快速恢复生命值。<n/><n/><c val="ffff8a">可以对地。</c>	Unidad de asalto. Tiene un ataque de daño de área. Regenera vida rápidamente mientras está enterrada.<n/><n/><c val="ffff8a">Puede atacar a unidades terrestres.</c>
使<c val ="ffff8a">原始蟑螂</c>和<c val ="ffff8a">原始点火虫</c>的移动速度提高。	Aumenta la velocidad de movimiento de las <c val ="ffff8a">cucarachas primigenias</c> y las <c val ="ffff8a">incendiarias primigenias</c>.
格里维格的巢穴使你可以孵化原始蟑螂。	La guarida de Glevig te permite engendrar cucarachas primigenias.
通过孵化原始蝗虫进行攻击的攻城单位。原始蝗虫持续<d ref="Behavior,DehakaLocustTimedLife,Duration"/>秒。<n/><n/><c val="#ColorAttackInfo">原始蝗虫可以对地。</c>	Unidad de asedio que ataca engendrando langostas primigenias, que duran <d ref="Behavior,DehakaLocustTimedLife,Duration"/> segundos.<n/><n/><c val="#ColorAttackInfo">Las langostas primigenias pueden atacar a unidades terrestres.</c>
通过孵化爆裂掘地虫进行攻击的攻城单位。掘地虫持续<d ref="Behavior,DehakaLocustTimedLife,Duration"/>秒。<n/><n/><c val="#ColorAttackInfo">掘地虫可以对地。</c>	Unidad de asedio que ataca engendrando propagadores explosivos, que duran <d ref="Behavior,DehakaLocustTimedLife,Duration"/> segundos.<n/><n/><c val="#ColorAttackInfo">Los propagadores pueden atacar a unidades terrestres.</c>
通过孵化爆裂掘地虫进行攻击的攻城单位。掘地虫持续<d ref="Behavior,DehakaLocustTimedLife,Duration"/>秒。<n/><n/><c val="#ColorAttackInfo">掘地虫可以对地和对空。</c>	Unidad de asedio que ataca engendrando propagadores explosivos, que duran <d ref="Behavior,DehakaLocustTimedLife,Duration"/> segundos.<n/><n/><c val="#ColorAttackInfo">Los propagadores pueden atacar a unidades aéreas y terrestres.</c>
对德哈卡周围的敌方地面单位造成<d ref="Effect,DehakaStompDamageA,Amount"/>点伤害。	Inflige <d ref="Effect,DehakaStompDamageA,Amount"/> de daño a las unidades terrestres enemigas alrededor de Dehaka.
对德哈卡周围的敌方地面单位造成<d ref="Effect,DehakaStompDamageB,Amount"/>点伤害。	Inflige <d ref="Effect,DehakaStompDamageB,Amount"/> de daño a las unidades terrestres enemigas alrededor de Dehaka.
对德哈卡周围的敌方地面单位造成<d ref="Effect,DehakaStompDamageC,Amount"/>点伤害。	Inflige <d ref="Effect,DehakaStompDamageC,Amount"/> de daño a las unidades terrestres enemigas alrededor de Dehaka.
通过孵化蝗虫进行攻击的攻城单位。可以与另一只原始宿主战斗获得进化。<n/><n/><c val="#ColorAttackInfo">蝗虫可以对地。</c>	Unidad de asedio que ataca engendrando langostas. Puede combatir contra otro gestador primigenio para evolucionar.<n/><n/><c val="#ColorAttackInfo">Las langostas pueden atacar a unidades terrestres.</c>
两只原始宿主对决，幸存者可以进化为一只掘地虫宿主。<n/><n/>通过孵化掘地虫进行攻击的攻城单位。<n/><n/><c val="#ColorAttackInfo">掘地虫可以对地。</c>	Dos gestadores primigenios se enfrentan y el superviviente evoluciona en un gestador propagador.<n/><n/>Unidad de asedio que ataca engendrando propagadores.<n/><n/><c val="#ColorAttackInfo">Los propagadores pueden atacar a unidades terrestres.</c>
对德哈卡前方半圆范围造成<d ref="Effect,DehakaSwipeDamage,Amount"/>点伤害。	Inflige <d ref="Effect,DehakaSwipeDamage,Amount"/> de daño en un semicírculo frente a Dehaka.
原始异虫单位在这些虫茧的保护下孵化。	Las unidades zerg primigenias se engendran protegidas dentro de estos capullos.
使附近友方单位获得<d ref="Behavior,DehakaTyrannozorArmorAuraTarget,Modification.LifeArmorBonus"/>点护甲。	Otorga <d ref="Behavior,DehakaTyrannozorArmorAuraTarget,Modification.LifeArmorBonus"/> de armadura a las unidades amistosas cercanas.
