非晶态装甲云	Zasłona amorficzna
InfestedSupplyDepotRaise	InfestedSupplyDepotRaise
SOA Blind	SOA Blind
SOABomber Mode Alt	SOABomber Mode Alt
SOA Caster Time	SOA Caster Time
SOA Dark Pylon	SOA Dark Pylon
SOA 时空波动	SOA Chrono Wave
SOA Orbital Strike Karax	SOA Orbital Strike Karax
SOAPylon Power	SOAPylon Power
SOA Recall On Death	SOA Recall On Death
SOA Shadow Guard Calldown	SOA Shadow Guard Calldown
SOASummon Fenix	SOASummon Fenix
SOASummon Fenix Arbiter	SOASummon Fenix Arbiter
SOASummon Fenix Dragoon	SOASummon Fenix Dragoon
SOA Super Chrono	SOA Super Chrono
Nano Repair Double	Nano Repair Double
爆蚊引爆	Scourge Detonate
爆蚊巢穴研究	Scourge Nest Research
Structure Barrier	Structure Barrier
Siege Tank Reborn	Siege Tank Reborn
Siege Tank Reborn Cheap	Siege Tank Reborn Cheap
Siege Tank Wreckage	Siege Tank Wreckage
斯雷恩元素生物 抓握 范围性效果	Slayn Elemental Grab AOE
Solar Forge Research	Solar Forge Research
孵化蝗虫巢穴	Spawn Locust Nest
战斗空投	Zrzut Bojowy
释放仆从	Release Minion
孢子集群变形	Spore Colony Morph
强化剂	Stymulatory
斯托科夫 亚历山大号 大和炮	Stukov Aleksander Yamato Cannon
斯托科夫 合作任务 孵化 不稳人类	Stukov Coop Spawn Volatile Terrans
斯托科夫 被感染的平民 飞扑	Stukov Infested Infested Civilian Leap Attack
StukovInfestedSiegeTankAmmoRestockSearchToggle	StukovInfestedSiegeTankAmmoRestockSearchToggle
斯托科夫 被感染的 野性突变	Stukov Infested Wild Mutation
召唤末日巨兽	Summon Apocalisk
自杀	Samobójstwo
Suicide Building	Suicide Building
斯巴达连队	Kompania Spartan
Sunken Colony Morph	Sunken Colony Morph
共生体甲壳	Symbiote Carapace
共生体跳跃	Symbiote Jump
共生体移动建议	Symbiote Move Suggest
共生体尖刺喷射	Symbiote Spike Burst
共生体刺击	Symbiote Stab
地嗪采集萃取	Terrazine Harvester Extract
Thor Reborn Swann	Thor Reborn Swann
Thor Reborn Swann Cheap	Thor Reborn Swann Cheap
Thor Wreckage Swann	Thor Wreckage Swann
Train (Command Center) (Tychus)	Train (Command Center) (Tychus)
升空(指挥中心)	Lift Off (Command Center)
训练(重工厂)	Train (Factory)
复活迈尔斯“布雷泽”刘易斯	Revive Miles "Blaze" Lewis
复活维嘉	Revive Vega
复活罗布“弹头哥”博斯韦尔	Revive Rob "Cannonball" Boswell
复活凯文“响尾蛇”韦斯特	Revive Kevin "Rattlesnake" West
复活莱纳·尼卡拉中尉	Revive Lt. Layna Nikara
复活“老油条”萨姆	Revive Crooked Sam
复活纳克斯	Revive Nux
TychusFakeReviveTrain	TychusFakeReviveTrain
TychusFakeReviveTychus	TychusFakeReviveTychus
复活詹姆斯“天狼星”赛克斯	Revive James "Sirius" Sykes
TychusFirebatImprovedClap	TychusFirebatImprovedClap
TychusGhostDominate	TychusGhostDominate
TychusHercGrappleInstant	TychusHercGrappleInstant
TychusHeroCommonAbil1	TychusHeroCommonAbil1
对空飞弹	Anti-Air Missiles
奥丁研发	Odin Research
定点防御靶机	Robot obrony punktowej
泰凯斯队列	Tychus Queue
TychusReaperSuperCloak	TychusReaperSuperCloak
Tychus Research Center Build	Tychus Research Center Build
泰凯斯复活	Tychus Revive
TychusReviveHeroes	TychusReviveHeroes
TychusSpectreBrillianceAura	TychusSpectreBrillianceAura
建造(SCV)	Build (SCV)
TychusWarhoundTornadoSprayMissile	TychusWarhoundTornadoSprayMissile
TychusWarhoundTurretTornadoSprayMissile	TychusWarhoundTurretTornadoSprayMissile
升级成大型蟑螂温室	Upgrade To Greater Roach Warren
变异建筑 (孵化场 -> 虫穴)	Morph Building (Hatchery -> Lair)
Morph Command Center -> Orbital Command	Morph Command Center -> Orbital Command
瓦斯采集器	Dron Wespanowy
治疗病毒射线	VirusCureBeam
Void Shard ACBuild	Void Shard ACBuild
Void Shard ACDeath Grip	Void Shard ACDeath Grip
Void Shard ACShockwave	Void Shard ACShockwave
Void Shard ACVoid Zone	Void Shard ACVoid Zone
Ground Missile Volley	Ground Missile Volley
Vorazun Extra Beam	Vorazun Extra Beam
Vorazun Gateway Hangar	Vorazun Gateway Hangar
Vorazun Mothership Queue	Vorazun Mothership Queue
Vorazun Protoss Build	Vorazun Protoss Build
Vorazun Robotics Facility Hangar	Vorazun Robotics Facility Hangar
Vorazun Stargate Hangar	Vorazun Stargate Hangar
Vorazun Warp Gate Train	Vorazun Warp Gate Train
Warbot A	Warbot A
战斗机器人B	Warbot B
战斗机器人C	Warbot C
可在任意位置折跃	Warpable Anywhere
Warpable Nova	Warpable Nova
Warpable Zeratul	Warpable Zeratul
Make Attack Charges	Make Attack Charges
Widow Mine Queue3	Widow Mine Queue3
野性突变	Wild Mutation
扎加拉复活	Zagara Revive
Zagara Void Coop Mass Frenzy	Zagara Void Coop Mass Frenzy
扎加拉虚空合作模式感染空投	Zagara Void Coop Infested Drop
ZeratulArtifactSpecialize	ZeratulArtifactSpecialize
折跃(探机)	Build (Probe)
训练(传送门)	Train (Gateway)
ZeratulKhaydarinMonolithProjection	ZeratulKhaydarinMonolithProjection
Zeratul Observer Morph to Zeratul Observer Siege	Zeratul Observer Morph to Zeratul Observer Siege
Zeratul Observer Siege Morph to Zeratul Observer	Zeratul Observer Siege Morph to Zeratul Observer
Zeratul Phase Cannon Projection Cancel	Zeratul Phase Cannon Projection Cancel
Phase Cannon Warp	Phase Cannon Warp
Zeratul Reflection Shield	Zeratul Reflection Shield
Zeratul Revive	Zeratul Revive
折跃(机械台)	Train (Robotics Facility)
护盾修复	Shield Repair
ZeratulShadowCleave	ZeratulShadowCleave
ZeratulStructureBarrier	ZeratulStructureBarrier
ZeratulSuppressionCrystal	ZeratulSuppressionCrystal
ZeratulSuppressionCrystalSuppressionBuilding	ZeratulSuppressionCrystalSuppressionBuilding
泽拉图顶部技能条创建	Zeratul Top Bar Build
Zeratul Top Bar Warp Train	Zeratul Top Bar Warp Train
ZeratulTrade	ZeratulTrade
ZeratulVoidSeekerReasearch	ZeratulVoidSeekerReasearch
ZeratulVoidSeekerTrigger	ZeratulVoidSeekerTrigger
Zeratul Warp Prism Auto Unload	Zeratul Warp Prism Auto Unload
ZeratulWarpPrismSelectVoidRift	ZeratulWarpPrismSelectVoidRift
载入-卸载 (穿梭机)	Load-Unload (Shuttle)
飞行模式	Tryb latania
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   攻击<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   取消	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/> – aby zaatakować.<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/> – aby anulować.
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>选择搭乘位置<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>取消	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/> – aby wybrać miejsce odbioru.<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/> – aby anulować.
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>选择目的地位置<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/> 取消并下船	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/> – aby wybrać miejsce docelowe.<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/> – aby anulować.
暴雪Mod	Modyfikacje Blizzarda
P: <d ref="Behavior,AlarakEmpowerDisplay,Modification.DamageDealtUnscaled[Melee]"/>	Moc: <d ref="Behavior,AlarakEmpowerDisplay,Modification.DamageDealtUnscaled[Melee]"/>
附属设施搭建完毕。	Dobudówka gotowa.
莽兽变异完成。	Przekształcanie brutaliska zakończone.
利维坦变异完成。	Przekształcanie lewiatana zakończone.
蜘蛛雷完成。	Mina pajęcza gotowa.
<s val="MercCategory">战队规模：</s>  <s val="MercSummary">2名精英火蝠</s><n/><s val="MercCategory">效果：</s>  <s val="MercSummary">生命值提高60%，伤害提高25%</s><n/><s val="MercCategory">受训于：</s>  <s val="MercSummary">佣兵营地</s><n/><s val="MercCategory">每次任务限额：</s>  <s val="MercSummary">2队</s><n/><n/><s val="MercDescription">身为前联邦火蝠战队中的精英，这些人在过去的四年中转战过无数星球。他们从不关心战斗的缘由，眼里只有钱。</s>	<s val="MercCategory">Wielkość oddziału:</s>  <s val="MercSummary">2 elitarnych wypalaczy</s><n/><s val="MercCategory">Statystyki:</s>  <s val="MercSummary">+60% życia, +25% zadawanych obrażeń</s><n/><s val="MercCategory">Miejsce szkolenia:</s>  <s val="MercSummary">Baza najemników</s><n/><s val="MercCategory">Limit na misję:</s>  <s val="MercSummary">2 oddziały</s><n/><n/><s val="MercDescription">Ci byli konfederaccy wypalacze przez ostatnie 4 lata walczyli na dziesiątkach planet. Nie sprzyjają niczyjej sprawie – interesuje ich tylko forsa.</s>
<s val="MercCategory">战队规模：</s>  <s val="MercSummary">2名精英劫掠者</s><n/><s val="MercCategory">效果：</s>  <s val="MercSummary">生命值提高25%，伤害提高20%</s><n/><s val="MercCategory">受训于：</s>  <s val="MercSummary">佣兵营地</s><n/><s val="MercCategory">每次任务限额：</s>  <s val="MercSummary">2队</s><n/><n/><s val="MercDescription">基于凯莫瑞安联合体的私人安全公司。H-Sec为机构提供安全保障服务，经常和帝国发生冲突。</s>	<s val="MercCategory">Wielkość oddziału:</s>  <s val="MercSummary">2 elitarnych maruderów</s><n/><s val="MercCategory">Statystyki:</s>  <s val="MercSummary">+25% życia, +20% zadawanych obrażeń</s><n/><s val="MercCategory">Miejsce szkolenia:</s>  <s val="MercSummary">Baza najemników</s><n/><s val="MercCategory">Limit na misję:</s>  <s val="MercSummary">2 oddziały</s><n/><n/><s val="MercDescription">Prywatna firma ochroniarska z siedzibą w Kombinacie Kel-Moriańskim, Młot sp. z o.o., oferuje swoje usługi różnym korporacjom i bardzo często zdarza jej się wchodzić w konflikt z Dominium.</s>
<s val="MercCategory">战队规模：</s>  <s val="MercSummary">2辆精英攻城坦克</s><n/><s val="MercCategory">效果：</s>  <s val="MercSummary">生命值提高33%，伤害提高66%</s><n/><s val="MercCategory">受训于：</s>  <s val="MercSummary">佣兵营地</s><n/><s val="MercCategory">每次任务限额：</s>  <s val="MercSummary">2队</s><n/><n/><s val="MercDescription">由前联邦攻城坦克精英驾驶员组成的小型组织。他们声称，只需一发特制的炮弹，即可为你解决一切烦恼，前提是你花得起钱。</s>	<s val="MercCategory">Wielkość oddziału:</s>  <s val="MercSummary">2 elitarne czołgi oblężnicze</s><n/><s val="MercCategory">Statystyki:</s>  <s val="MercSummary">+33% wytrzymałości, +66% zadawanych obrażeń</s><n/><s val="MercCategory">Miejsce szkolenia:</s>  <s val="MercSummary">Baza najemników</s><n/><s val="MercCategory">Limit na misję:</s>  <s val="MercSummary">2 oddziały</s><n/><n/><s val="MercDescription">Niewielka, lecz elitarna jednostka wojskowa złożona z byłych czołgistów Konfederacji. Uważają, że jedna salwa z ich podrasowanych dział burzących rozwiąże wszystkie twoje problemy.</s>
<s val="MercCategory">战队规模：</s>  <s val="MercSummary">4名精英陆战队员</s><n/><s val="MercCategory">效果：</s>  <s val="MercSummary">生命值提高65%，伤害提高35%</s><n/><s val="MercCategory">受训于：</s>  <s val="MercSummary">佣兵营地</s><n/><s val="MercCategory">每次任务限额：</s>  <s val="MercSummary">3队</s><n/><n/><s val="MercDescription">以在酒吧中痛饮喧哗的不羁形象而著称的战地豪猪雇佣兵们，拥有改良过的先进装备和数千小时的作战经验，与这些优势相比，他们闲暇时制造的麻烦就不值一提了。</s>	<s val="MercCategory">Wielkość oddziału:</s>  <s val="MercSummary">4 elitarnych marines</s><n/><s val="MercCategory">Statystyki:</s>  <s val="MercSummary">+65% życia, +35% zadawanych obrażeń</s><n/><s val="MercCategory">Miejsce szkolenia:</s>  <s val="MercSummary">Baza najemników</s><n/><s val="MercCategory">Limit na misję:</s>  <s val="MercSummary">3 oddziały</s><n/><n/><s val="MercDescription">Wieprze Wojny słyną z efektywności bojowej oraz zamiłowania do pijatyk i awantur. Dysponują ulepszonym wyposażeniem i mogą poszczycić się tysiącami godzin doświadczenia bojowego. Dlatego też warto skorzystać z ich usług, mimo problemów, które sprawiają poza służbą.</s>
<s val="MercCategory">队伍规模：</s>  <s val="MercSummary">2架叛逃的女妖战机</s><n/><s val="MercCategory">效果：</s>  <s val="MercSummary">生命值提高25%，伤害提高50%</s><n/><s val="MercCategory">受训于：</s>  <s val="MercSummary">佣兵营地</s><n/><s val="MercCategory">每次任务限额：</s>  <s val="MercSummary">2队</s><n/><n/><s val="MercDescription">黄昏之翼是帝国首批女妖飞行中队中的一支。 当他们发现靠这些新玩意儿可以赚快钱时，便很快脱离了帝国的掌控。</s>	<s val="MercCategory">Wielkość eskadry:</s>  <s val="MercSummary">2 dezerterskie banshee</s><n/><s val="MercCategory">Statystyki:</s>  <s val="MercSummary">+25% wytrzymałości, +50% zadawanych obrażeń</s><n/><s val="MercCategory">Miejsce szkolenia:</s>  <s val="MercSummary">Baza najemników</s><n/><s val="MercCategory">Limit na misję:</s>  <s val="MercSummary">2 eskadry</s><n/><n/><s val="MercDescription">Skrzydła Mroku to jedna z pierwszych eskadr banshee utworzonych w Dominium. Dość szybko zdezerterowali, gdyż okazało się, że praca na własny rachunek z użyciem tego sprzętu pozwala na szybkie wzbogacenie się.</s>
<s val="MercCategory">队伍规模：</s>  <s val="MercSummary">3艘海盗维京战机</s><n/><s val="MercCategory">效果：</s>  <s val="MercSummary">生命值提高45%，伤害提高40%</s><n/><s val="MercCategory">受训于：</s>  <s val="MercSummary">佣兵营地</s><n/><s val="MercCategory">每次任务限额：</s>  <s val="MercSummary">2队</s><n/><n/><s val="MercDescription">得名于北欧神话死亡女神赫尔的海盗组织 — 出没在边缘星球，不断滋扰帝国航运线。他们的飞行特长有时能为他们在佣兵合约上赚取大笔资金。</s>	<s val="MercCategory">Wielkość eskadry:</s>  <s val="MercSummary">3 pirackie wikingi</s><n/><s val="MercCategory">Statystyki:</s>  <s val="MercSummary">+45% wytrzymałości, +40% zadawanych obrażeń</s><n/><s val="MercCategory">Miejsce szkolenia:</s>  <s val="MercSummary">Baza najemników</s><n/><s val="MercCategory">Limit na misję:</s>  <s val="MercSummary">2 oddziały</s><n/><n/><s val="MercDescription">Grupa piratów, która swoją nazwę zawdzięcza Hel, nordyckiej bogini śmierci. Aniołki grasują po obrzeżnych światach w poszukiwaniu łatwego łupu na szlakach handlowych Dominium. Duże umiejętności w zakresie pilotażu pozwalają członkom tej organizacji od czasu do czasu zgarniać sporą kasę na kontraktach najemniczych.</s>
<s val="MercCategory">舰队规模：</s>  <s val="MercSummary">1艘海盗战列巡航舰</s><n/><s val="MercCategory">效果：</s>  <s val="MercSummary">生命值提高30%，伤害提高33%</s><n/><s val="MercCategory">受训于：</s>  <s val="MercSummary">佣兵营地</s><n/><s val="MercCategory">每次任务限额：</s>  <s val="MercSummary">1 </s><n/><n/><s val="MercDescription">这艘战列巡航舰的战斗历史可追溯到联邦统治的最早期。许多位前联邦舰长都曾在这艘“闻名遐迩”的战舰上指挥方逑，但他们都无一例外地死在了敌人或是舰上的恶棍手里。</s>	<s val="MercCategory">Wielkość floty:</s>  <s val="MercSummary">1 piracki krążownik</s><n/><s val="MercCategory">Statystyki:</s>  <s val="MercSummary">+30% wytrzymałości, +33% zadawanych obrażeń</s><n/><s val="MercCategory">Miejsce szkolenia:</s>  <s val="MercSummary">Baza najemników</s><n/><s val="MercCategory">Limit na misję:</s>  <s val="MercSummary">2 oddziały</s><n/><n/><s val="MercDescription">Ten krążownik pochodzi z pierwszych dni Konfederacji. Słynnym statkiem dowodził szereg kapitanów – wszyscy oni albo polegli w boju, albo zostali zamordowani przez piracką załogę statku.</s>
<s val="MercCategory">战队规模：</s>  <s val="MercSummary">2个精英歌利亚武装机器人</s><n/><s val="MercCategory">效果：</s>  <s val="MercSummary">生命值提高33%，伤害提高33%</s><n/><s val="MercCategory">受训于：</s>  <s val="MercSummary">佣兵营地</s><n/><s val="MercCategory">每次任务限额：</s>  <s val="MercSummary">2队</s><n/><n/><s val="MercDescription">作为UED远征军的残余部队，斯巴达连队的成员在母巢之战中遭到弃用。他们现在成立了雇佣兵组织，为出价最高者提供军事支持。</s>	<s val="MercCategory">Wielkość oddziału:</s>  <s val="MercSummary">2 elitarne goliaty</s><n/><s val="MercCategory">Statystyki:</s>  <s val="MercSummary">+33% wytrzymałości, +33% zadawanych obrażeń</s><n/><s val="MercCategory">Miejsce szkolenia:</s>  <s val="MercSummary">Baza najemników</s><n/><s val="MercCategory">Limit na misję:</s>  <s val="MercSummary">2 oddziały</s><n/><n/><s val="MercDescription">Spartanie uformowali się z niedobitków sił ekspedycyjnych DZZ. Korzystają z nowoczesnego sprzętu i świadczą usługi klientom o największej liczbie zer na koncie.</s>
守护者	Strażnik
畸变体	Aberracja
使徒	Adept
仲裁者	Arbiter
执政官	Archont
自动机炮	Wieżyczka automatyczna
爆虫	Tępiciel
爆虫猎杀虫	Tępiciel, łowca
爆虫巢穴	Gniazdo tępicieli
爆虫分裂虫	Tępiciel, rozszczepieniec
女妖	Banshee
诺娃女妖	Banshee Novy
战列巡航舰	Krążownik
胆汁喷射体	Miotacz żółci
巢虫领主	Rządca szczepu
莽兽	Brutalisk
航母	Lotniskowiec
航母净化者	Lotniskowiec, czyściciel
航母塔达林	Lotniskowiec tal'darimów
巨像	Kolos
巨像净化者	Kolos, czyściciel
巨像塔达林	Kolos, tal'darim
指挥中心	CentraKomunikacji
CoopArmyCategory	KoopArmiaKategoria
腐化者	Skaziciel
菌毯覆盖地	Kolonia biomasy
飓风	Cyklon
黑暗执政官	Mroczny archont
黑暗圣坛	Mroczna świątynia
黑暗圣堂武士	Mroczny templariusz
黑暗圣堂武士艾尔	Mroczny templariusz, Aiur
黑暗圣堂武士萨古拉斯	Mroczny templariusz, Shakuras
黑暗圣堂武士塔达林	Mroczny templariusz, tal'darim
蝎虫	Plugawiec
吞噬者	Pożeracz
响尾蛇战车	Grzechotnik
干扰者	Destabilizator
火蝠	Wypalacz
传送门	Brama
幽灵军校	Akademia duchów
幽灵军校 诺娃	Akademia duchów, Nova
诺娃幽灵	Duch Novy
歌利亚武装机器人	Goliat
诺娃歌利亚	Goliat Novy
赫克	HERK
铁鸦	Kruk
收割者	Żniwiarz
战狼	Ogar
怨灵战机	Zjawa
诺娃恶蝠	Helbat Novy
恶火	Helion
大力神	Herkules
高阶执政官	Wysoki Archont
