非晶态装甲云	Protezione informe
研究焦油炸弹	Ricerca Bombe bituminose
安装无人机机库	Costruisci Hangar dei Droni
研究多线程传感器	Ricerca Sensori multipli
研究LE9型集束炸弹	Ricerca Bombe a grappolo LE9
研究喷气背包加力	Ricerca Propulsore dorsale superiore
研究战术跳跃	Ricerca Salto tattico
研究加固强化辅助型精钢护甲	Ricerca Corazza in neo-acciaio migliorato
研究撕裂弹	Ricerca Munizioni sminuzzatrici
研究狂暴飞弹	Ricerca Missili W.I.L.D.
研究处决飞弹	Ricerca Missili Executioner
研究黑市发射器	Ricerca Lanciamissili elaborati
研究火控复检	Ricerca Innesco
研究未登记的隐形系统	Ricerca Sistema di occultamento illegale
研究超载反应堆	Ricerca Sovraccarico reattore
研究隐身模块	Ricerca Modulo occultante
研究能量潮涌	Ricerca Flusso di plasma
研究入侵繁殖	Ricerca Incubazione aggressiva
研究地狱火装甲	Ricerca Blindatura Inferno
研究喷气背包突击	Ricerca Assalto con propulsori verticali
研究恶火	Ricerca Hellion
研究地狱风暴炮组	Ricerca Batterie Hellstorm
研究强化研究强化屏障	Ricerca Cannone dispersivo migliorato
研究高级攻城科技	Ricerca Tecnologia d'assedio avanzata
研究KMC自动填弹装置	Ricerca Caricatori automatici KMC
研发焚烧臂铠	Ricerca Guanti crematori
研究金甲虫机壳	Ricerca Alloggiamento Scarabei
研究太阳能负载	Ricerca Missili a solarite
研究再生型钢板	Ricerca Blindatura rigenerativa
进化酸性酶	Evolvi Enzimi acidi
研究震荡弹	Ricerca Granate a concussione
研发铁人装甲	Ricerca Blindatura Juggernaut
研究引力跃迁弹射器	Ricerca Catapulta gravitonica dimensionale
研究快速恢复	Ricerca Ricarica rapida
研究强化瞄准	Ricerca Puntamento migliorato
研发心能水晶坠饰	Ricerca Amuleto khaydarin
研究激光瞄准系统	Ricerca Sistema di puntamento laser
研究解放者防卫模式	Ricerca Assetto difensore del Liberatore
研究解放者强化对空射程	Ricerca Portata aria-aria migliorata del Liberatore
研究掠袭火炮	Ricerca Artiglieria d'assalto
研究锁定飞弹	Ricerca Missile disorientante
研究锁定	Ricerca bloccata
研究磁轨武器	Ricerca Munizioni elettromagnetiche
研究医疗兵	Ricerca Medico
研究心灵爆裂	Ricerca Esplosione mentale
研究多重锁定武器系统	Ricerca Sistema di puntamento multiplo
研究可装填式雷仓	Ricerca Munizionamento ricaricabile
研究压制弹	Ricerca Granate disorientanti
研究幽灵面罩	Ricerca Visore fantasma
研究闪光雷	Ricerca Granate stordenti
研究脉冲手雷	Ricerca Granate a impulsi
研究超级强化剂	Ricerca Super Stimpack
研究诺娃强化版武器伤害	Ricerca Danni migliorati di Nova
研究作战效能	Ricerca Efficacia operativa
研究地狱火霰弹枪	Ricerca Fucile Hellfire
研究改良式霰弹步枪	Ricerca Fucile di precisione migliorato
研究单分子光刀	Ricerca Lama monomolecolare
研究静滞校正	Ricerca Calibrazione di stasi
研究虫洞	Ricerca Varco spazio-temporale
研究末日炮塔	Ricerca Torretta Perdition
研究相位模式	Ricerca Assetto fasico
研究福波斯武器系统	Ricerca Armamento classe Fobos
研究校准棱镜	Ricerca Allineamento prismatico
研究棱镜射程	Ricerca Portata prismatica
研究灵能球	Ricerca Sfera psionica
研习灵能风暴	Ricerca Tempesta psionica
研究收割者	Ricerca Mietitore
研发蜘蛛雷	Ricerca Mine ragno
研究紧急召回	Ricerca Richiamo alla morte
研究重构	Ricerca Ricostruzione
研究再生型生物钢	Ricerca Bio-acciaio rigenerativo
研究共鸣之刃锁定	Ricerca di Balestra risonante bloccata
研究复活	Ricerca Rianimazione
研究破浪飞弹	Ricerca Missili Ripwave
进化1级感染	Evolvi Infestazione livello 1
进化2级感染	Evolvi Infestazione livello 2
研究训练2级被感染的陆战队员	Ricerca Addestra Marine infestato livello 2
研究训练3级被感染的陆战队员	Ricerca Addestra Marine infestato livello 3
研究训练4级被感染的陆战队员	Ricerca Addestra Marine infestato livello 4
研究感染强化剂	Ricerca Stimpack infestato
进化病毒播洒	Evolvi Contaminazione virale
研究相位爆裂	Ricerca Detonazione fasica
研究强化修理系统	Ricerca Sistemi di riparazione avanzata
研究太阳耀斑	Ricerca Vampa solare
研究强化纳米修复	Ricerca Nanoriparazione migliorata
研究暗影执政官	Ricerca Arconte dell'ombra
研究暗影光炮	Ricerca Cannone dell'ombra
研究暗影冲锋	Ricerca Carica dell'ombra
研究暗影之怒	Ricerca Furia dell'ombra
研究黑暗缠绕	Ricerca Spira oscura
研究定向冲击	Ricerca Esplosione modellata
研究双重护盾修理	Ricerca Doppia riparazione scudi
研究护盾恢复	Ricerca Ripristino scudi
研究冲击波导弹巢	Ricerca Batteria di missili Shockwave
研究尖牙炮塔	Ricerca Torretta Shrike
研究攻城坦克	Ricerca Carro d'assedio
研究攻城坦克喷气背包	Ricerca Propulsori dei Carri d'assedio
研究相位闪现	Ricerca Traslazione fasica
进化切割之爪	Evolvi Simbionte acuminato
研究太阳能利用率等级1	Ricerca Efficacia solare - Livello 1
研究太阳能利用率等级2	Ricerca Efficacia solare - Livello 2
研究太阳能利用率等级3	Ricerca Efficacia solare - Livello 3
研究小队视野增益	Ricerca Visione collettiva
研发稳定剂医疗包	Ricerca Medpack stabilizzanti
研究强固屏障	Ricerca Barriera difensiva
进化快速潜伏	Evolvi Letargo rapido
研究瞬时自动追踪	Ricerca Puntamento automatico
研究瞄准光学镜	Ricerca Ottica di Puntamento
研究科技反应堆	Ricerca Tecnoreattore
研究战斧能源电池	Ricerca Celle energetiche Tomahawk
研究三锂能源电池	Ricerca Celle energetiche al trilitio
研究聚变迫击炮	Ricerca Mortai a fusione
研究高级光学	Ricerca Ottica avanzata
研究维京战机破浪飞弹	Ricerca Missili Ripwave dei Viking
研究虚空静滞	Ricerca Stasi del Vuoto
研究折跃门充能	Ricerca Cariche del Portale dimensionale
研究旋风斩	Ricerca Turbine
研究脉冲增幅器	Ricerca Amplificatore d'impulsi
研究高级隐形力场	Ricerca Campo di occultamento avanzato
神器强化：预判闪现	Potenziamento artefatto: Traslazione predittiva
研究黑暗水晶塔	Ricerca Pilone oscuro
暴露弱点	Punto debole
建造被感染的军械库	Costruisci Armeria infestata
孵化被感染的女妖	Genera Banshee infestata
建造被感染的兵营	Costruisci Caserma infestata
地堡中的陆战队员	Marine nei bunker
再生型钢板	Blindatura rigenerativa
建造被感染的指挥中心	Costruisci Centro di comando infestato
孵化被感染的响尾蛇战车	Genera Diamondback infestato
建造被感染的工程站	Costruisci Officina bellica infestata
建造被感染的重工厂	Costruisci Fabbrica infestata
建造被感染的地堡	Costruisci Bunker infestato
孵化腔室	Camera di generazione
孵化被感染的士兵	Genera Soldato infestato
孵化被感染的平民	Genera Civile infestato
感染强化剂	Stimpack infestato
Infested Civilian Structure Increased Spawn Count Level 1	Civile infestato - Generazione aumentata struttura - Livello conteggio 1
Infested Civilian Structure Increased Spawn Count Level 2	Civile infestato - Generazione aumentata struttura - Livello conteggio 2
孵化被感染的解放者	Genera Liberatore infestato
云状散化	Dispersione nebulizzata
病毒播洒	Contaminazione virale
视网增强	Sviluppo retineo
建造被感染的导弹塔	Costruisci Torretta lanciamissili infestata
被感染的导弹塔	Torretta lanciamissili infestata
孵化王虫	Genera Sorvegliante
孵化虫巢女王	Genera Regina della Genia
强化线粒体	Mitocondri potenziati
建造被感染的精炼厂	Costruisci Raffineria infestata
孵化被感染的SCV	Genera SCV infestato
孵化被感染的攻城坦克	Genera Carro d'assedio infestato
增殖菌毯	Biostrato proliferante
建造被感染的星港	Costruisci Spazioporto infestato
引爆感染体	Esplosione infestato
感染建筑	Infestazione struttura
进食饥渴	Pasto macabro
部署灵能发射器	Colloca Emettitore psionico
建造被感染的补给站	Costruisci Deposito infestato
部署黑暗水晶塔	Colloca Pilone oscuro
矩阵过载	Sovraccarico matrice
轨道轰炸	Attacco orbitale
相位爆裂	Detonazione fasica
死亡召回	Richiamo alla morte
强化修理系统	Sistemi di riparazione avanzata
部署暗影卫队	Schiera Guardia dell'ombra
太阳耀斑	Vampa solare
太阳轰炸	Bombardamento solare
塞布罗斯仲裁者战甲	Arbiter Cybros
激活塞布罗斯仲裁者战甲	Arbiter Cybros attivo
太阳能龙骑士战甲	Dragone a solarite
激活太阳能龙骑士战甲	Dragone a solarite attivo
全地图时空涌动	Varco temporale generale
黑洞	Buco nero
变异为爆蚊巢穴	Muta in Nido di Flagelli
剧毒孢子	Spore virali
运载车辆	Carico
神器强化：感应器阵列	Potenziamento artefatto: Sistema sensoriale
折跃保护者	Evoca Conservatore
虚相护盾	Scudo nullificante
保护者	Conservatore
折跃萨尔纳加光盾卫士	Evoca Scudiero xel'naga
削铁刃虫	Simbionte smembrante
神器强化：阴影屏障	Potenziamento artefatto: Barriera dell'ombra
暗影光炮	Cannone dell'ombra
强固屏障	Barriera difensiva
神器强化：护盾增强器	Potenziamento artefatto: Scudi potenziati
射程调节	Portata graduale
喷气背包	Propulsore dorsale
杀戮者	Carnefice
范围性效果 精华 吸取	AdE - Risucchio di essenza
太阳能利用率等级1	Efficacia solare - Livello 1
太阳能利用率等级2	Efficacia solare - Livello 2
太阳能利用率等级3	Efficacia solare - Livello 3
折跃太阳锻炉	Evoca Forgia solare
孵化莽兽	Genera Brutalisca
变异为孢子集群	Muta in Colonia di spore
折跃萨尔纳加伏击者	Evoca Assalitore xel'naga
星港的科技实验室研究2	Spazioporto - Ricerca modulo tecnologico 2
使用强化剂	Stimpack
建造被感染的高级建筑	Costruisci Struttura infestata avanzata
被腐化的大和炮	Cannone Yamato corrotto
建造被感染的建筑	Costruisci Struttura infestata
斯托科夫 合作任务 孵生不稳人类	Genera Terran instabili
快速潜伏	Letargo rapido
支撑性机械外骨骼	Esoscheletro rinforzato
奋战不懈	Tenacia
厌氧强化	Incremento anaerobico
烈性生质	Biomassa instabile
斯托科夫 感染体 野性突变	Stukov - Mutazione selvaggia infestata
机械部队攻击速度	Velocità d'attacco unità meccaniche
亚历山大号	Aleksander
末日巨兽	Apocalisca
异虫变异	Mutazione zerg
自毁	Suicidio
召唤坑道虫欧米茄	Richiama Verme omega
召唤坑道虫	Richiama Verme Nydus
变异为潜隐集群	Muta in Colonia profonda
超级生物钢	Bio-acciaio superiore
压制弹	Granate disorientanti
强化加工	Costruzione migliorata
超级机械折跃台	Fabbrica robotica dimensionale superiore
超级折跃星门	Portale stellare dimensionale superiore
重建	Ricostruzione
切换至突击模式	Passa in Assetto d'assalto
移动暗示	Movimento suggerito
尖刺喷射	Esplosione di aculei
刺击	Puntura
战争配置	Configurazione bellica
建造科技反应堆	Costruisci Tecnoreattore
升级步兵护甲等级4	Potenzia corazza fanteria livello 4
升级步兵武器等级4	Potenzia armi fanteria livello 4
升级战车及舰船钢板等级4	Potenzia blindatura mezzi e navi livello 4
升级战车及舰船武器等级4	Potenzia armi mezzi e navi livello 4
地嗪采集	Raccolta di terrazine
超维空间炮	Cannone cosmico
组织同化	Assimilazione dei tessuti
部署隐秘女妖	Schiera Banshee occulte
部署特战幽灵	Schiera Fantasmi speciali
部署强击歌利亚	Schiera Goliath incursori
建造攻击战斗机	Costruisci Caccia
攻击战斗机	Caccia
部署恶蝠游骑兵	Schiera Hellbat scelti
招募雇佣兵	Recluta Mercenari
训练凯莫瑞安工人	Addestra Lavoratore kelmoriano
部署掠袭解放者	Schiera Liberatori d'assalto
部署劫掠者突击手	Schiera Devastatori commando
部署精英陆战队员	Schiera Marine d'élite
医疗运输机黑色行动	Navetta medica - Operazioni segrete
部署铁鸦II型	Schiera Raven 2.0
死神之首	Testa di morto
部署重型攻城坦克	Schiera Carri d'assedio pesanti
转移共生体	Trasferisci Simbionte
变形为机械折跃台	Trasforma in Fabbrica robotica dimensionale
变形为折跃星门	Trasforma in Portale stellare dimensionale
KD9a型聚爆核心	Nucleo implosivo KD9a
购买KD9a型聚爆核心	Acquista Nucleo implosivo KD9a
购买凯莫瑞安碎甲弹	Acquista Proiettili kelmoriani
钒钢弹壳	Corazza al vanadio
购买钒钢弹壳	Acquista Corazza al vanadio
建造猛男军械库	Costruisci Armeria degli Scagnozzi
建造指挥中心	Costruisci Centro di comando
哈迪斯浮油	Olio infernale
购买哈迪斯浮油	Acquista Olio infernale
迈尔斯“布雷泽”刘易斯	Miles "Blaze" Lewis
狂焰牌燃料添加剂	Additivi incendiari
购买狂焰牌燃料添加剂	Acquista Additivi incendiari
高容积储油罐	Taniche ad alta capacità
购买高容积储油罐	Acquista Taniche ad alta capacità
XCMC-670型战斗装甲	Tuta da combattimento XCMC-670
建造鬼手安全屋	Costruisci Rifugio dei Risolutori
88式劝服者	Persuasore modello 88
神经干扰器	Dispositivo di disgregazione neurale
购买神经干扰器	Acquista Dispositivo di disgregazione neurale
维嘉	Vega
莫比斯灵能激发器	Motivatore psionico Moebius
购买莫比斯灵能激发器	Acquista Motivatore psionico Moebius
购买灵能投射器	Acquista Proiettore psionico
罗布“弹头哥”博斯韦尔	Rob "Cannonball" Boswell
M.A.L.I.C.E.弹药	Munizioni M.A.L.E.F.I.C.
购买临界响应系统	Acquista Sistema di risposta critica
购买X-71型震击靴	Acquista Stivali da sbarco X-71
X-71型震击靴	Stivali da sbarco X-71
购买红线能量电池	Acquista Celle energetiche Redline
泰凯斯不法之徒普通技能1	Tychus - Fuorilegge - Abilità base 1
泰凯斯不法之徒普通技能2	Tychus - Fuorilegge - Abilità base 2
泰凯斯不法之徒普通技能3	Tychus - Fuorilegge - Abilità base 3
泰凯斯不法之徒普通技能4	Tychus - Fuorilegge - Abilità base 4
泰凯斯不法之徒普通技能5	Tychus - Fuorilegge - Abilità base 5
凯文“响尾蛇”韦斯特	Kev "Rattlesnake" West
重锤牌爆射弹	Munizioni Hammer
部署恢复器	Rivitalizzatore
尤摩扬信号调制器	Modulatore di segnale umojano
购买尤摩扬信号调制器	Acquista Modulatore di segnale umojano
莫比斯攻击性合剂	Aggressività Moebius
购买莫比斯攻击性合剂	Acquista Aggressività Moebius
购买秘密储备强化剂	Acquista Stimpack di scorta
XM-77型矩阵发生器	Generatore di matrice XM-77
莱纳·尼卡拉中尉	Ten. Layna Nikara
普罗希昂双管治疗射线护手	Guanto curativo Procyon
购买普罗希昂双管治疗射线护手	Acquista Guanto curativo Procyon
购买普罗希昂血清	Acquista Siero Procyon
普罗希昂血清	Siero Procyon
购买尤摩扬纳米修复机器人	Acquista Naniti riparatori umojani
尤摩扬纳米修复机器人	Naniti riparatori umojani
医疗运输机空运	Navetta medica tattica
建造枪王藏身处	Costruisci Covo degli Artiglieri
红色按钮	Pulsantone rosso
升级不法之徒生命与护甲等级1	Potenzia vita e corazza Fuorilegge livello 1
升级不法之徒生命与护甲等级2	Potenzia vita e corazza Fuorilegge livello 2
升级不法之徒生命与护甲等级3	Potenzia vita e corazza Fuorilegge livello 3
升级不法之徒生命与护甲等级4	Potenzia vita e corazza Fuorilegge livello 4
升级不法之徒生命与护甲等级5	Potenzia vita e corazza Fuorilegge livello 5
升级不法之徒武器等级1	Potenzia armi Fuorilegge livello 1
升级不法之徒武器等级2	Potenzia armi Fuorilegge livello 2
升级不法之徒武器等级3	Potenzia armi Fuorilegge livello 3
升级不法之徒武器等级4	Potenzia armi Fuorilegge livello 4
升级不法之徒武器等级5	Potenzia armi Fuorilegge livello 5
“老油条”萨姆	Sam il Losco
强化版爆破套件	Dotazione da scontro potenziata
拉尔斯科技G7型炸弹	Cariche LarsCorp G7
购买拉尔斯科技G7型炸弹	Acquista Cariche LarsCorp G7
莫比斯拘束矩阵	Matrice coattiva Moebius
购买莫比斯拘束矩阵	Acquista Matrice coattiva Moebius
购买普罗希昂遮光服	Acquista Tuta da occultamento Procyon
折跃补给站	Richiedi Deposito
重新部署迈尔斯“布雷泽”刘易斯	Rianima Miles "Blaze" Lewis
重新部署维嘉	Rianima Vega
重新部署罗布“弹头哥”博斯韦尔	Rianima Rob "Cannonball" Boswell
重新部署凯文“响尾蛇”韦斯特	Rianima Kevin "Rattlesnake" West
重新部署莱纳·尼卡拉中尉	Rianima il Ten. Layna Nikara
重新部署“老油条”萨姆	Rianima Sam il Losco
重新部署纳克斯	Rianima Nux
重新部署泰凯斯·芬利	Rianima Tychus Findlay
重新部署詹姆斯“天狼星”赛克斯	Rianima James "Sirius" Sykes
制造SCV	Addestra SCV
制造自动机炮	Costruisci Torretta automatica
纳克斯	Nux
水晶增幅器	Amplificatori cristallini
购买水晶增幅器	Acquista Amplificatori cristallini
