非晶态装甲云	Blindagem Nebulosa Amorfa
发射一轮反物质飞弹弹幕，造成<d ref="Effect,FenixMojoScoutAOEAirDamage,Amount-Effect,FenixNetworkedSuperiorityScout,Amount"/> <c val="00ffff">（+<d ref="Effect,FenixNetworkedSuperiorityScout,Amount" precision="1"/>）</c>（<d ref="Effect,FenixMojoScoutAOEAirDamage,Amount+Effect,FenixMojoScoutAOEAirDamage,AttributeBonus[Armored]-(Effect,FenixNetworkedSuperiorityScout,Amount+Effect,FenixNetworkedSuperiorityScout,AttributeBonus[Armored])"/> <c val="00ffff">（+<d ref="Effect,FenixNetworkedSuperiorityScout,Amount+Effect,FenixNetworkedSuperiorityScout,AttributeBonus[Armored]" precision="1"/>）</c> vs 重甲单位）点范围伤害并击晕附近的敌方空中单位，持续<d time="[d ref='Behavior,FenixMojoScoutAirStun,Duration'/]"/>。	Dispara uma barragem de Mísseis Antimatéria, causando <d ref="Effect,FenixMojoScoutAOEAirDamage,Amount-Effect,FenixNetworkedSuperiorityScout,Amount"/> <c val="00ffff">(+<d ref="Effect,FenixNetworkedSuperiorityScout,Amount" precision="1"/>)</c> (<d ref="Effect,FenixMojoScoutAOEAirDamage,Amount+Effect,FenixMojoScoutAOEAirDamage,AttributeBonus[Armored]-(Effect,FenixNetworkedSuperiorityScout,Amount+Effect,FenixNetworkedSuperiorityScout,AttributeBonus[Armored])"/> <c val="00ffff">(+<d ref="Effect,FenixNetworkedSuperiorityScout,Amount+Effect,FenixNetworkedSuperiorityScout,AttributeBonus[Armored]" precision="1"/>)</c> contra alvos blindados) de dano em área e atordoando unidades aéreas próximas por <d time="[d ref='Behavior,FenixMojoScoutAirStun,Duration'/]"/>.
<n/><n/><c val="00ffff">战术数据网</c><n/>每联网一架侦察机，压制程序即可额外造成<d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityScout:Effect,FenixMojoScoutAOEAirDamage,Amount$*Effect,FenixNetworkedSuperiorityStacksPerSupplyDummy,Amount*Unit,Scout,Food*(-1)" precision="1"/>（<d ref="($UpgradeEffectArrayValue:FenixNetworkedSuperiorityScout:Effect,FenixMojoScoutAOEAirDamage,Amount$+$UpgradeEffectArrayValue:FenixNetworkedSuperiorityScout:Effect,FenixMojoScoutAOEAirDamage,AttributeBonus[Armored]$)*Effect,FenixNetworkedSuperiorityStacksPerSupplyDummy,Amount*Unit,Scout,Food*(-1)" precision="1"/> vs 重甲单位）点伤害（最多<d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityScout:Effect,FenixMojoScoutAOEAirDamage,Amount$*Effect,FenixNetworkedSuperiorityMaxCountDummy,Amount"/>（<d ref="($UpgradeEffectArrayValue:FenixNetworkedSuperiorityScout:Effect,FenixMojoScoutAOEAirDamage,Amount$+$UpgradeEffectArrayValue:FenixNetworkedSuperiorityScout:Effect,FenixMojoScoutAOEAirDamage,AttributeBonus[Armored]$)*Effect,FenixNetworkedSuperiorityMaxCountDummy,Amount"/> vs 重甲单位）点伤害）。	<n/><n/><c val="00ffff">Rede de Dados Táticos</c><n/>Procedimento de Supressão causa <d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityScout:Effect,FenixMojoScoutAOEAirDamage,Amount$*Effect,FenixNetworkedSuperiorityStacksPerSupplyDummy,Amount*Unit,Scout,Food*(-1)" precision="1"/> (<d ref="($UpgradeEffectArrayValue:FenixNetworkedSuperiorityScout:Effect,FenixMojoScoutAOEAirDamage,Amount$+$UpgradeEffectArrayValue:FenixNetworkedSuperiorityScout:Effect,FenixMojoScoutAOEAirDamage,AttributeBonus[Armored]$)*Effect,FenixNetworkedSuperiorityStacksPerSupplyDummy,Amount*Unit,Scout,Food*(-1)" precision="1"/> contra unidades blindadas) de dano extra para cada Batedor na rede (até <d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityScout:Effect,FenixMojoScoutAOEAirDamage,Amount$*Effect,FenixNetworkedSuperiorityMaxCountDummy,Amount"/> (<d ref="($UpgradeEffectArrayValue:FenixNetworkedSuperiorityScout:Effect,FenixMojoScoutAOEAirDamage,Amount$+$UpgradeEffectArrayValue:FenixNetworkedSuperiorityScout:Effect,FenixMojoScoutAOEAirDamage,AttributeBonus[Armored]$)*Effect,FenixNetworkedSuperiorityMaxCountDummy,Amount"/> contra unidades blindadas) de dano).
净化者阵营<n/>一位勇敢的执政官，曾逃离敌人的囚禁并在克哈星球上从人类手中夺回一块被盗的凯达琳水晶。 攻击可击晕敌方空中单位。<n/><n/><c val="ffff8a">可以对空和对地。</c>	Facção dos Purificadores<n/>Um Pretor audacioso que fugiu do aprisionamento e recuperou dos terranos em Korhal um cristal khaydarino roubado.<n/><n/><c val="ffff8a">Ataca unidades terrestres e aéreas.</c>
攻击击晕目标空中单位<d time="[d ref='Behavior,FenixMojoScoutAirStun,Duration'/]"/>。	Ataques atordoam a unidade aérea selecionada por <d time="[d ref='Behavior,FenixMojoScoutAirStun,Duration'/]"/>.
摩约加入战场。<n/><n/>宿主机体可用：<c val="00ffff"><d ref="Effect,FenixChampionShellCountScout,Amount" player="current"/></c>	Mojo está no campo de batalha.<n/><n/>Carapaças Hospedeiras disponíveis: <c val="00ffff"><d ref="Effect,FenixChampionShellCountScout,Amount" player="current"/></c>
折跃一架侦察机，为摩约提供宿主机体。	Transdobre um Batedor para fornecer uma carapaça hospedeira a Mojo.
准备摩约的智能人格，以便下载至任意可用的侦察机机体。	Prepare a Personalidade I.A. de Mojo para download em qualquer carapaça de Batedor disponível.
将摩约的智能人格下载至任意可用的侦察机机体。	A Personalidade I.A. de Mojo é baixada em qualquer carapaça de Batedor disponível.
大家都叫我加托。我有金属关节。来揍我吧。可以赢15个白银点数。	Chamam-me de Gato. Eu tenho juntas de metal. Surre-me. E ganhe 15 Pontos de Prata.
射出一颗能量球，放射一次威力强大的新星爆炸，造成<d ref="Effect,PurificationNovaDamage,Amount"/>点溅射伤害，并对附近的地面单位和建筑造成额外<d ref="Effect,PurificationNovaDamage,ShieldBonus"/>点护盾伤害。	Dispara uma bola de energia que emite uma nova poderosa, causando <d ref="Effect,PurificationNovaDamage,Amount"/> de dano colateral e <d ref="Effect,PurificationNovaDamage,ShieldBonus"/> de dano adicional a escudos de unidades terrestres e estruturas próximos.
射出一颗能量球，放射一次威力强大的新星爆炸，造成<d ref="Effect,PurificationNovaDamage,Amount"/>点溅射伤害，并对附近的地面单位和建筑造成额外<d ref="Effect,PurificationNovaDamage,ShieldBonus"/>点护盾伤害。<n><n><d ref="Effect,FenixPurificationNovaUpgradedPersistent,PeriodicPeriodArray[0]"/>秒后，它将再次爆炸，对一个更大范围造成<d ref="Effect,PurificationNovaUpgradedDamage,Amount"/>点伤害。	Dispara uma bola de energia que emite uma nova poderosa, causando <d ref="Effect,PurificationNovaDamage,Amount"/> de dano colateral e <d ref="Effect,PurificationNovaDamage,ShieldBonus"/> de dano adicional a escudos de unidades terrestres e estruturas próximos.<n><n>Após <d ref="Effect,FenixPurificationNovaUpgradedPersistent,PeriodicPeriodArray[0]"/> segundos, explode novamente, causando <d ref="Effect,PurificationNovaUpgradedDamage,Amount"/> de dano em uma área maior.
制造一个护盾，使友方单位受到的所有攻击伤害降低<d ref="Behavior,FenixSentryGuardianZone,Modification.DamageTakenFraction[Melee]*(-100)"/>%， 持续<d time="[d ref='Effect,FenixSentryGuardianZoneCP,PeriodCount*Effect,FenixSentryGuardianZoneCP,PeriodicPeriodArray[0]'/]"/>。	Cria um escudo que reduz todo o dano de ataque recebido por unidades aliadas em <d ref="Behavior,FenixSentryGuardianZone,Modification.DamageTakenFraction[Melee]*(-100)"/>%. Dura <d time="[d ref='Effect,FenixSentryGuardianZoneCP,PeriodCount*Effect,FenixSentryGuardianZoneCP,PeriodicPeriodArray[0]'/]"/>.
保护者正在激发一个护盾，使友方单位受到的所有攻击伤害降低<d ref="Behavior,FenixSentryGuardianZone,Modification.DamageTakenFraction[Melee]*(-100)"/>%。	O Conservador está emitindo um escudo que reduz todo o dano de ataque recebido por unidades aliadas em <d ref="Behavior,FenixSentryGuardianZone,Modification.DamageTakenFraction[Melee]*(-100)"/>%.
将保护者变形为机动模式。保护者在此模式下可移动，但无法提供能量场。	Passa o Conservador para o Modo Móvel. O Conservador pode se mover, mas não cria mais um campo de energia.
保护者变形为相位模式。使保护者可以提供一个能量场，效果与水晶塔相同，但该模式下保护者无法移动。	Passa o Conservador para o Modo Fásico e gera um campo de energia igual ao do Pilar Energético. O Conservador não pode se mover neste modo.
给目标注入能量，将其转变成一件远程武器，持续<d ref="Behavior,FenixSentryPhotonOvercharge,Duration"/>秒，造成<d ref="Effect,FenixSentryPhotonOverchargeWeaponDamage,Amount"/><n/>点伤害。	Energiza o alvo, transformando-o em uma arma de longo alcance que causa <d ref="Effect,FenixSentryPhotonOverchargeWeaponDamage,Amount"/><n/> de dano por <d ref="Behavior,FenixSentryPhotonOvercharge,Duration"/> s.
净化者阵营<n>最早的一批龙骑士，这位伟大的战士曾与亚顿一起并肩战斗过。攻击可产生一个重力井，将敌人拽入其中。可以使用屏障吸收伤害。<n/><n/><c val="ffff8a">可以对地。</c>	Facção dos Purificadores<n>Um dos primeiros dragontes e um grande guerreiro que lutou ao lado do próprio Adun. Ataques criam um poço gravitacional que puxa inimigos. Usa Barreira para absorver dano<n/><n/><c val="ffff8a">Ataca unidades terrestres.</c>
塔尔达林加入战场。<n/><n/>宿主机体可用：<c val="00ffff"><d ref="Effect,FenixChampionShellCountImmortal,Amount" player="current"/></c>	Taldarin está no campo de batalha.<n/><n/>Carapaças Hospedeiras disponíveis: <c val="00ffff"><d ref="Effect,FenixChampionShellCountImmortal,Amount" player="current"/></c>
折跃一台不朽者，为塔尔达林提供宿主机体。	Transdobre um Imortal para fornecer uma carapaça hospedeira a Taldarin.
准备塔尔达林的智能人格，以便下载至任意可用的不朽者机体。	Prepara a Personalidade I.A. de Taldarin para download em qualquer carapaça de Imortal disponível.
将塔尔达林的智能人格下载至任意可用的不朽者机体。	A Personalidade I.A. de Taldarin é baixada em qualquer carapaça de Imortal disponível.
净化者阵营<n/>远程特种单位。可以使用灵能传送。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Facção dos Purificadores.<n/>Especialista de longo alcance. Usa Transferência Psiônica.<n/><n/><c val="#ColorAttackInfo">Ataca unidades terrestres e aéreas.</c>
一种增强型利刃，可弹跳击中最多3个敌方单位，每次弹跳造成<d ref="Effect,FenixTalisAdeptBounceShotDamage1,Amount-Effect,FenixNetworkedSuperiorityAdept,Amount"/> <c val="00ffff">（+<d ref="Effect,FenixNetworkedSuperiorityAdept,Amount" precision="1"/>）</c>（<d ref="Effect,FenixTalisAdeptBounceShotDamage1,Amount + Effect,FenixTalisAdeptBounceShotDamage1,AttributeBonus[Light]-(Effect,FenixNetworkedSuperiorityAdept,Amount+Effect,FenixNetworkedSuperiorityAdept,AttributeBonus[Light])"/> <c val="00ffff">（+<d ref="Effect,FenixNetworkedSuperiorityAdept,Amount+Effect,FenixNetworkedSuperiorityAdept,AttributeBonus[Light]" precision="1"/>）</c> vs 轻甲单位）点伤害。	Uma Glaive amplificada que ricocheteia e atinge até 3 unidades inimigas, causando <d ref="Effect,FenixTalisAdeptBounceShotDamage1,Amount-Effect,FenixNetworkedSuperiorityAdept,Amount"/> <c val="00ffff">(+<d ref="Effect,FenixNetworkedSuperiorityAdept,Amount" precision="1"/>)</c> (<d ref="Effect,FenixTalisAdeptBounceShotDamage1,Amount + Effect,FenixTalisAdeptBounceShotDamage1,AttributeBonus[Light]-(Effect,FenixNetworkedSuperiorityAdept,Amount+Effect,FenixNetworkedSuperiorityAdept,AttributeBonus[Light])"/> <c val="00ffff">(+<d ref="Effect,FenixNetworkedSuperiorityAdept,Amount+Effect,FenixNetworkedSuperiorityAdept,AttributeBonus[Light]" precision="1"/>)</c> contra unidades leves) de dano a cada uma.
<n/><n/><c val="00ffff">战术数据网</c><n/>每联网一名使徒，回旋刃即可造成额外<d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityAdept:Effect,FenixTalisAdeptBounceShotDamage1,Amount$*Effect,FenixNetworkedSuperiorityStacksPerSupplyDummy,Amount*Unit,AdeptFenix,Food*(-1)" precision="1"/>（<d ref="($UpgradeEffectArrayValue:FenixNetworkedSuperiorityAdept:Effect,FenixTalisAdeptBounceShotDamage1,Amount$+$UpgradeEffectArrayValue:FenixNetworkedSuperiorityAdept:Effect,FenixTalisAdeptBounceShotDamage1,AttributeBonus[Light]$)*Effect,FenixNetworkedSuperiorityStacksPerSupplyDummy,Amount*Unit,AdeptFenix,Food*(-1)" precision="1"/> vs 轻甲单位）点伤害（最多<d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityAdept:Effect,FenixTalisAdeptBounceShotDamage1,Amount$*Effect,FenixNetworkedSuperiorityMaxCountDummy,Amount"/>（<d ref="($UpgradeEffectArrayValue:FenixNetworkedSuperiorityAdept:Effect,FenixTalisAdeptBounceShotDamage1,Amount$+$UpgradeEffectArrayValue:FenixNetworkedSuperiorityAdept:Effect,FenixTalisAdeptBounceShotDamage1,AttributeBonus[Light]$)*Effect,FenixNetworkedSuperiorityMaxCountDummy,Amount"/> vs 轻甲单位）点伤害）。	<n/><n/><c val="00ffff">Rede de Dados Táticos</c><n/>Os ricochetes da Glaive Ricocheteadora causam <d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityAdept:Effect,FenixTalisAdeptBounceShotDamage1,Amount$*Effect,FenixNetworkedSuperiorityStacksPerSupplyDummy,Amount*Unit,AdeptFenix,Food*(-1)" precision="1"/> (<d ref="($UpgradeEffectArrayValue:FenixNetworkedSuperiorityAdept:Effect,FenixTalisAdeptBounceShotDamage1,Amount$+$UpgradeEffectArrayValue:FenixNetworkedSuperiorityAdept:Effect,FenixTalisAdeptBounceShotDamage1,AttributeBonus[Light]$)*Effect,FenixNetworkedSuperiorityStacksPerSupplyDummy,Amount*Unit,AdeptFenix,Food*(-1)" precision="1"/> contra unidades leves) de dano extra para cada Adepta na rede (até <d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityAdept:Effect,FenixTalisAdeptBounceShotDamage1,Amount$*Effect,FenixNetworkedSuperiorityMaxCountDummy,Amount"/> (<d ref="($UpgradeEffectArrayValue:FenixNetworkedSuperiorityAdept:Effect,FenixTalisAdeptBounceShotDamage1,Amount$+$UpgradeEffectArrayValue:FenixNetworkedSuperiorityAdept:Effect,FenixTalisAdeptBounceShotDamage1,AttributeBonus[Light]$)*Effect,FenixNetworkedSuperiorityMaxCountDummy,Amount"/> contra unidades leves) de dano).
一种增强型利刃，可弹跳击中最多8个敌方单位，每次弹跳造成<d ref="Effect,FenixTalisAdeptBounceShotDamage1,Amount-Effect,FenixNetworkedSuperiorityAdept,Amount"/> <c val="00ffff">（+<d ref="Effect,FenixNetworkedSuperiorityAdept,Amount" precision="1"/>）</c>（<d ref="Effect,FenixTalisAdeptBounceShotDamage1,Amount + Effect,FenixTalisAdeptBounceShotDamage1,AttributeBonus[Light]-(Effect,FenixNetworkedSuperiorityAdept,Amount+Effect,FenixNetworkedSuperiorityAdept,AttributeBonus[Light])"/> <c val="00ffff">（+<d ref="Effect,FenixNetworkedSuperiorityAdept,Amount+Effect,FenixNetworkedSuperiorityAdept,AttributeBonus[Light]" precision="1"/>）</c> vs 轻甲单位）点伤害。受到回旋刃攻击的目标会从所有攻击中受到额外伤害。	Uma Glaive amplificada que ricocheteia e atinge até 8 unidades inimigas, causando <d ref="Effect,FenixTalisAdeptBounceShotDamage1,Amount-Effect,FenixNetworkedSuperiorityAdept,Amount"/> <c val="00ffff">(+<d ref="Effect,FenixNetworkedSuperiorityAdept,Amount" precision="1"/>)</c> (<d ref="Effect,FenixTalisAdeptBounceShotDamage1,Amount + Effect,FenixTalisAdeptBounceShotDamage1,AttributeBonus[Light]-(Effect,FenixNetworkedSuperiorityAdept,Amount+Effect,FenixNetworkedSuperiorityAdept,AttributeBonus[Light])"/> <c val="00ffff">(+<d ref="Effect,FenixNetworkedSuperiorityAdept,Amount+Effect,FenixNetworkedSuperiorityAdept,AttributeBonus[Light]" precision="1"/>)</c> contra unidades leves) de dano a cada uma. Alvos atingidos pela Glaive Ricocheteadora recebem dano adicional de todos os ataques.
塔里斯加入战场。<n/><n/>宿主机体可用：<c val="00ffff"><d ref="Effect,FenixChampionShellCountAdept,Amount" player="current"/></c>	Talis está no campo de batalha.<n/><n/>Carapaças Hospedeiras disponíveis: <c val="00ffff"><d ref="Effect,FenixChampionShellCountAdept,Amount" player="current"/></c>
折跃一名使徒，为塔里斯提供宿主机体。	Transdobre uma Adepta para fornecer uma carapaça hospedeira a Talis.
准备塔里斯的智能人格，以便下载至任意可用的使徒机体。	Prepare a Personalidade I.A. de Talis para download em qualquer carapaça de Adepta disponível.
<c val="ffff8a">塔里斯</c>的回旋刃可额外弹射5次，并使每个被回旋刃击中的单位在<d ref="Behavior,AdeptPsionicTransferDamageDebuff,Duration"/>秒内承受额外伤害。	A Glaive Ricocheteadora de <c val="ffff8a">Talis</c> ricocheteia mais 5 vezes e faz com que todas as unidades atingidas recebam dano extra por <d ref="Behavior,AdeptPsionicTransferDamageDebuff,Duration"/> s.
将塔里斯的智能人格下载至任意可用的使徒机体。	A Personalidade I.A. de Talis é baixada em qualquer carapaça de Adepta disponível.
菲尼克斯冲向目标位置，造成<d ref="Effect,FenixThunderousChargeCoopDamage,Amount"/>点伤害并撞晕所有敌方单位<d ref="Behavior,FenixThunderousChargeCoopStun,Duration"/>秒。	Fenix investe no local selecionado, causando <d ref="Effect,FenixThunderousChargeCoopDamage,Amount"/> de dano e atordoando todas as unidades inimigas por <d ref="Behavior,FenixThunderousChargeCoopStun,Duration"/> segundos.
净化者阵营<n/>一种极其先进的人工智能程序，特别为攻城作战设计。攻击可造成范围性伤害并减速敌方单位。<n/><n/><c val="ffff8a">可以对地。</c>	Facção dos Purificadores<n/>Um programa de I.A. altamente avançado projetado especificamente para combate de cerco agressivo. Ataques causam dano em área e desaceleram unidades inimigas.<n/><n/><c val="ffff8a">Ataca unidades terrestres.</c>
