非晶态装甲云	Amorphe Deckungswolke
德哈卡恐吓附近的敌人，使其移动速度降低<d ref="Behavior,DehakaIntimidatingRoar,Modification.AdditiveMoveSpeedFactor * (-1 ) * 100" precision="2"/>% ，攻击速度降低<d ref="Behavior,DehakaIntimidatingRoar,Modification.AdditiveAttackSpeedFactor * (-1 ) * 100" precision="2"/>%，持续<d ref="Behavior,DehakaIntimidatingRoar,Duration"/>秒。	Dehaka versetzt nahe Gegner <d ref="Behavior,DehakaIntimidatingRoar,Duration"/> Sek. lang in Furcht, wodurch ihre Bewegungsgeschwindigkeit um <d ref="Behavior,DehakaIntimidatingRoar,Modification.AdditiveMoveSpeedFactor * (-1 ) * 100" precision="2"/>% und ihre Angriffsgeschwindigkeit um <d ref="Behavior,DehakaIntimidatingRoar,Modification.AdditiveAttackSpeedFactor * (-1 ) * 100" precision="2"/>% verringert wird.
德哈卡恐吓附近的敌人，使其移动速度降低<d ref="Behavior,DehakaIntimidatingRoar,Modification.AdditiveMoveSpeedFactor * (-1 ) * 100" precision="2"/>% ，攻击速度降低<d ref="Behavior,DehakaIntimidatingRoar,Modification.AdditiveAttackSpeedFactor * (-1 ) * 100" precision="2"/>%，持续<d ref="Behavior,DehakaIntimidatingRoar,Duration"/>秒<n/>受到破胆咆哮影响的敌人无法使用消耗能量的技能。	Dehaka versetzt nahe Gegner <d ref="Behavior,DehakaIntimidatingRoar,Duration"/> Sek. lang in Furcht, wodurch ihre Bewegungsgeschwindigkeit um <d ref="Behavior,DehakaIntimidatingRoar,Modification.AdditiveMoveSpeedFactor * (-1 ) * 100" precision="2"/>% und ihre Angriffsgeschwindigkeit um <d ref="Behavior,DehakaIntimidatingRoar,Modification.AdditiveAttackSpeedFactor * (-1 ) * 100" precision="2"/>% verringert wird.<n/>Gegner, die von diesem Effekt betroffen sind, können keine Fähigkeiten einsetzen, die Energie kosten.
德哈卡恐吓附近的敌人，使其移动速度降低<d ref="Behavior,DehakaIntimidatingRoar,Modification.AdditiveMoveSpeedFactor * (-1 ) * 100" precision="2"/>% ，攻击速度降低<d ref="Behavior,DehakaIntimidatingRoar,Modification.AdditiveAttackSpeedFactor * (-1 ) * 100" precision="2"/>%，持续<d ref="Behavior,DehakaIntimidatingRoar,Duration"/>秒<n/>受到破胆咆哮影响的敌人的护甲降低2点，而且无法使用消耗能量的技能。	Dehaka versetzt nahe Gegner <d ref="Behavior,DehakaIntimidatingRoar,Duration"/> Sek. lang in Furcht, wodurch ihre Bewegungsgeschwindigkeit um <d ref="Behavior,DehakaIntimidatingRoar,Modification.AdditiveMoveSpeedFactor * (-1 ) * 100" precision="2"/>% und ihre Angriffsgeschwindigkeit um <d ref="Behavior,DehakaIntimidatingRoar,Modification.AdditiveAttackSpeedFactor * (-1 ) * 100" precision="2"/>% verringert wird.<n/>Gegner, die von diesem Effekt betroffen sind, können keine Fähigkeiten einsetzen, die Energie kosten, und ihre Panzerung ist um 2 verringert.
变异为异虫单位。	Morpht zu Zerg-Einheiten.
德哈卡跳向目标位置，对附近的敌方地面单位造成<d ref="$AccumulatedValue:Effect,DehakaStompDamageC,Amount$"/>点伤害。	Dehaka springt zum Zielort und fügt gegnerischen Bodeneinheiten in der Nähe <d ref="$AccumulatedValue:Effect,DehakaStompDamageC,Amount$"/> Schaden zu.
德哈卡跳向目标位置，对附近的敌方地面单位造成<d ref="$AccumulatedValue:Effect,DehakaStompDamageC,Amount$"/>点伤害。每击中一名敌人，德哈卡就获得<d ref="Behavior,DehakaLeapStompArmor,Modification.LifeArmorBonus"/>点护甲，持续<d ref="Behavior,DehakaLeapStompArmor,Duration"/>秒。	Dehaka springt zum Zielort und fügt gegnerischen Bodeneinheiten in der Nähe <d ref="$AccumulatedValue:Effect,DehakaStompDamageC,Amount$"/> Schaden zu. Jeder getroffene Gegner gewährt Dehaka <d ref="Behavior,DehakaLeapStompArmor,Duration"/> Sek. lang <d ref="Behavior,DehakaLeapStompArmor,Modification.LifeArmorBonus"/> Panzerung.
你有尚未分配的突变点数。点击此处进行分配。	Sie haben unverteilte Mutationspunkte. Hier klicken, um sie zu verteilen.
升级所有原始异虫的护甲。	Verbessert die Panzerung aller Urzerg-Einheiten.
进一步升级所有原始异虫的护甲。	Verbessert die Panzerung aller Urzerg-Einheiten noch weiter.
使所有原始异虫的护甲最大化。	Maximiert die Panzerung aller Urzerg-Einheiten.
升级所有原始异虫的攻击力。	Verbessert den verursachten Schaden aller Urzerg-Einheiten.
进一步升级所有原始异虫的攻击力。	Verbessert den verursachten Schaden aller Urzerg-Einheiten noch weiter.
使所有原始异虫的攻击力最大化。	Maximiert den verursachten Schaden aller Urzerg-Einheiten.
孵化自原始宿主。原始蝗虫持续<d ref="Behavior,DehakaLocustTimedLife,Duration"/>秒。<n/><n/><c val="ffff8a">可以对地。</c>	Wird von Urwirten erschaffen. Urschrecken bleiben <d ref="Behavior,DehakaLocustTimedLife,Duration"/> Sek. lang bestehen.<n/><n/><c val="ffff8a">Kann Bodeneinheiten angreifen.</c>
原始蝗虫可以在目标位置着陆进行攻击。	Urschrecken können am Zielort landen und dort angreifen.
德哈卡附近的友方单位每秒恢复<d ref="Effect,DehakaMendingAuraHealA,VitalArray[Life].Change * 2"/>点生命值。	Verbündete Einheiten in der Nähe von Dehaka werden um <d ref="Effect,DehakaMendingAuraHealA,VitalArray[Life].Change * 2"/> Trefferpunkte pro Sekunde geheilt.
德哈卡附近的的友方单位每秒恢复<d ref="Effect,DehakaMendingAuraHealB,VitalArray[Life].Change * 2"/>点生命值。	Verbündete Einheiten in der Nähe von Dehaka werden um <d ref="Effect,DehakaMendingAuraHealB,VitalArray[Life].Change * 2"/> Trefferpunkte pro Sekunde geheilt.
德哈卡附近的的友方单位每秒恢复<d ref="Effect,DehakaMendingAuraHealC,VitalArray[Life].Change * 2"/>点生命值。	Verbündete Einheiten in der Nähe von Dehaka werden um <d ref="Effect,DehakaMendingAuraHealC,VitalArray[Life].Change * 2"/> Trefferpunkte pro Sekunde geheilt.
永恒的虫母。孵化掘地虫并吐出酸液来减缓对手的移动速度。	Die Ewige Mutter. Erschafft Zecken und speit Säure, um ihre Opfer zu verlangsamen.
让<c val ="ffff8a">掘地虫宿主</c>的掘地虫可以以空中单位为目标，并提高它们的移动速度。	Ermöglicht es den Zecken des <c val ="ffff8a">Zeckenwirts</c>, Lufteinheiten anzugreifen, und erhöht ihre Bewegungsgeschwindigkeit.
为原始异龙、原始守护者和掘地虫宿主提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在原始战争之巢中孵化原始宿主。	Bietet Upgrademöglichkeiten für Urmutalisken, Urwächter und Zeckenwirte.<n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Urwirt beim Urhüter
召唤原始虫群首领穆尔瓦。穆尔瓦可以孵化蝗虫，还可以制造一团云雾减速敌人，并使其无法攻击和使用能量技能。穆尔瓦在回到巢穴前会持续战斗<d ref="Behavior,DehakaTopBarSummonTimedLife,Duration" player="current"/>秒。	Ruft Rudelführerin Murvar in den Kampf. Murvar erschafft Urschrecken und kann eine Wolke ausstoßen, die Gegner verlangsamt und gegnerische Einheiten und Gebäude daran hindert, anzugreifen oder energiebasierte Fähigkeiten einzusetzen. Murvar greift <d ref="Behavior,DehakaTopBarSummonTimedLife,Duration" player="current"/> Sek. lang in den Kampf ein, bevor sie sich in ihren Bau zurückzieht.
飞行生物。能够利用弹射攻击对多个目标造成伤害。<n/><n/><c val="ffff8a">可以对地和对空。</c>	Lufteinheit, deren Angriff auf mehrere Ziele überspringt.<n/><n/><c val="ffff8a">Kann Boden- und Lufteinheiten angreifen.</c>
原始异龙在移动时受到的伤害降低<d ref="Behavior,DehakaMutaliskDamageReduction,Modification.DamageTakenFraction[Melee]*(-100)" precision="1"/>%。	Urmutalisken erleiden während der Bewegung <d ref="Behavior,DehakaMutaliskDamageReduction,Modification.DamageTakenFraction[Melee]*(-100)" precision="1"/>% weniger Schaden.
原始异龙在死亡后很快会复活。该效果每<d ref="Behavior,DehakaMutaliskTimerBehavior,Cost.Cooldown.TimeStart"/>秒最多触发一次。	Urmutalisken werden kurze Zeit nach dem Tod wiederbelebt. Dieser Effekt kann nur einmal alle <d ref="Behavior,DehakaMutaliskTimerBehavior,Cost.Cooldown.TimeStart"/> Sek. auftreten.
强力防御建筑。<n/><n/><c val="ffff8a">可以对地和对空。</c><n/><c val="FFE303">侦测单位</c>	Mächtige Verteidigungsstruktur.<n/><n/><c val="ffff8a">Kann Boden- und Lufteinheiten angreifen.</c><n/><c val="FFE303">Detektor</c>
强力临时防御蠕虫。<n/><n/><c val="ffff8a">可以对地和对空。</c><n/><c val="FFE303">侦测单位</c>	Mächtiger temporärer Verteidigungswurm.<n/><n/><c val="ffff8a">Kann Boden- und Lufteinheiten angreifen.</c><n/><c val="FFE303">Detektor</c>
对目标单位每秒造成<d ref="Effect,DehakaNydusDestroyerTimedNoFoodBeamDamage,Amount * (1 / Effect,DehakaNydusDestroyerTimedNoFoodBeamCP,PeriodicPeriodArray[0])"/>点伤害，持续<d ref="Effect,DehakaNydusDestroyerTimedNoFoodBeamCP,PeriodCount * Effect,DehakaNydusDestroyerTimedNoFoodBeamCP,PeriodicPeriodArray[0]"/>秒。	Fügt der Zieleinheit <d ref="Effect,DehakaNydusDestroyerTimedNoFoodBeamDamage,Amount * (1 / Effect,DehakaNydusDestroyerTimedNoFoodBeamCP,PeriodicPeriodArray[0])"/> Schaden pro Sekunde zu. Hält <d ref="Effect,DehakaNydusDestroyerTimedNoFoodBeamCP,PeriodCount * Effect,DehakaNydusDestroyerTimedNoFoodBeamCP,PeriodicPeriodArray[0]"/> Sek. lang an.
召唤强力临时防御蠕虫，可以侦测隐形和潜地单位。	Ruft einen mächtigen temporären Verteidigungswurm herbei, der getarnte und eingegrabene Einheiten aufdecken kann.
通过孵化掘地虫进行攻击的攻城单位。<n/><n/><c val="#ColorAttackInfo">掘地虫可以对地。</c>	Belagerungseinheit, die mittels erschaffener Zecken angreift.<n/><n/><c val="#ColorAttackInfo">Zecken können Bodeneinheiten angreifen.</c>
通过孵化掘地虫进行攻击的攻城单位。<n/><n/><c val="#ColorAttackInfo">掘地虫可以对地和对空。</c>	Belagerungseinheit, die mittels erschaffener Zecken angreift.<n/><n/><c val="#ColorAttackInfo">Zecken können Boden- und Lufteinheiten angreifen.</c>
远程单位。可以远距离发射大量酸性液体。<n/><n/><c val="ffff8a">可以对地。</c>	Fernkampfeinheit. Feuert über große Entfernung Säuregeschosse ab.<n/><n/><c val="ffff8a">Kann Bodeneinheiten angreifen.</c>
两只原始跳虫对决，幸存者可以进化为一只掠食龙。<n/><n/>远程单位。可以远距离发射大量酸性液体。<n/><n/><c val="ffff8a">可以对地。</c>	Zwei Urzerglinge liefern sich einen Kampf um Leben und Tod, der Überlebende entwickelt sich weiter zu einem Ravasaurier.<n/><n/>Fernkampfeinheit. Feuert über große Entfernung Säuregeschosse ab.<n/><n/><c val="ffff8a">Kann Bodeneinheiten angreifen.</c>
对重甲目标造成+<d ref="$UpgradeEffectArrayValue:DehakaRavasaurVSArmor:Effect,DehakaRavasaurDamage,AttributeBonus[Armored]$"/>点伤害。	Erhöht den Schaden gegen gepanzerte Ziele um <d ref="$UpgradeEffectArrayValue:DehakaRavasaurVSArmor:Effect,DehakaRavasaurDamage,AttributeBonus[Armored]$"/>.
两只原始蟑螂对决，幸存者可以进化为一只原始守护者。<n/><n/>远程对地飞行单位。<n/><n/><c val="ffff8a">可以对地。</c>	Zwei Urschaben liefern sich einen Kampf um Leben und Tod, die Überlebende entwickelt sich weiter zu einem Urwächter.<n/><n/>Flugeinheit zur Bodenabwehr mit großer Reichweite. <n/><n/><c val="ffff8a">Kann Bodeneinheiten angreifen.</c>
两只原始蟑螂对决，幸存者可以进化为一只原始点火虫。<n/><n/>突击单位。可造成范围伤害。潜地时能快速恢复生命值。<n/><n/><c val="ffff8a">可以对地。</c>	Zwei Urschaben liefern sich einen Kampf um Leben und Tod, die Überlebende entwickelt sich weiter zu einer Urfeuerschabe.<n/><n/>Angriffseinheit mit Flächenangriff. Regeneriert im eingegrabenen Zustand schnell Trefferpunkte. <n/><n/><c val="ffff8a">Kann Bodeneinheiten angreifen.</c>
突击单位。可造成范围伤害。潜地时能快速恢复生命值。<n/><n/><c val="ffff8a">可以对地。</c>	Angriffseinheit mit Flächenangriff. Regeneriert im eingegrabenen Zustand schnell Trefferpunkte.<n/><n/><c val="ffff8a">Kann Bodeneinheiten angreifen.</c>
使<c val ="ffff8a">原始蟑螂</c>和<c val ="ffff8a">原始点火虫</c>的移动速度提高。	Erhöht die Bewegungsgeschwindigkeit von <c val ="ffff8a">Urschaben</c> und <c val ="ffff8a">Urfeuerschaben</c>.
格里维格的巢穴使你可以孵化原始蟑螂。	Glevigs Bau ermöglicht das Erschaffen von Urschaben.
通过孵化原始蝗虫进行攻击的攻城单位。原始蝗虫持续<d ref="Behavior,DehakaLocustTimedLife,Duration"/>秒。<n/><n/><c val="#ColorAttackInfo">原始蝗虫可以对地。</c>	Belagerungseinheit, die mittels erschaffener Urschrecken angreift. Urschrecken bleiben <d ref="Behavior,DehakaLocustTimedLife,Duration"/> Sek. lang bestehen.<n/><n/><c val="#ColorAttackInfo">Urschrecken können Bodeneinheiten angreifen.</c>
通过孵化爆裂掘地虫进行攻击的攻城单位。掘地虫持续<d ref="Behavior,DehakaLocustTimedLife,Duration"/>秒。<n/><n/><c val="#ColorAttackInfo">掘地虫可以对地。</c>	Belagerungseinheit, die mittels erschaffener explosiver Zecken angreift. Zecken bleiben <d ref="Behavior,DehakaLocustTimedLife,Duration"/> Sek. lang bestehen.<n/><n/><c val="#ColorAttackInfo">Zecken können Bodeneinheiten angreifen.</c>
通过孵化爆裂掘地虫进行攻击的攻城单位。掘地虫持续<d ref="Behavior,DehakaLocustTimedLife,Duration"/>秒。<n/><n/><c val="#ColorAttackInfo">掘地虫可以对地和对空。</c>	Belagerungseinheit, die mittels erschaffener explosiver Zecken angreift. Zecken bleiben <d ref="Behavior,DehakaLocustTimedLife,Duration"/> Sek. lang bestehen.<n/><n/><c val="#ColorAttackInfo">Zecken können Boden- und Lufteinheiten angreifen.</c>
对德哈卡周围的敌方地面单位造成<d ref="Effect,DehakaStompDamageA,Amount"/>点伤害。	Fügt gegnerischen Bodeneinheiten um Dehaka <d ref="Effect,DehakaStompDamageA,Amount"/> Schaden zu.
对德哈卡周围的敌方地面单位造成<d ref="Effect,DehakaStompDamageB,Amount"/>点伤害。	Fügt gegnerischen Bodeneinheiten um Dehaka <d ref="Effect,DehakaStompDamageB,Amount"/> Schaden zu.
对德哈卡周围的敌方地面单位造成<d ref="Effect,DehakaStompDamageC,Amount"/>点伤害。	Fügt gegnerischen Bodeneinheiten um Dehaka <d ref="Effect,DehakaStompDamageC,Amount"/> Schaden zu.
通过孵化蝗虫进行攻击的攻城单位。可以与另一只原始宿主战斗获得进化。<n/><n/><c val="#ColorAttackInfo">蝗虫可以对地。</c>	Belagerungseinheit, die mittels erschaffener Schrecken angreift. Kann einen anderen Urwirt bekämpfen, um sich weiterzuentwickeln.<n/><n/><c val="#ColorAttackInfo">Schrecken können Bodeneinheiten angreifen.</c>
两只原始宿主对决，幸存者可以进化为一只掘地虫宿主。<n/><n/>通过孵化掘地虫进行攻击的攻城单位。<n/><n/><c val="#ColorAttackInfo">掘地虫可以对地。</c>	Zwei Urwirte liefern sich einen Kampf um Leben und Tod, der Überlebende entwickelt sich weiter zu einem Zeckenwirt.<n/><n/>Belagerungseinheit, die mittels erschaffener Zecken angreift.<n/><n/><c val="#ColorAttackInfo">Zecken können Bodeneinheiten angreifen.</c>
对德哈卡前方半圆范围造成<d ref="Effect,DehakaSwipeDamage,Amount"/>点伤害。	Dehaka verursacht <d ref="Effect,DehakaSwipeDamage,Amount"/> Schaden in einem halbkreisförmigen Bereich vor sich.
原始异虫单位在这些虫茧的保护下孵化。	Urzerg-Einheiten werden geschützt in diesem Kokon erschaffen.
使附近友方单位获得<d ref="Behavior,DehakaTyrannozorArmorAuraTarget,Modification.LifeArmorBonus"/>点护甲。	Gewährt verbündeten Einheiten in der Nähe <d ref="Behavior,DehakaTyrannozorArmorAuraTarget,Modification.LifeArmorBonus"/> Panzerung.
发射一轮尖刺弹幕，对暴龙兽周围的敌方地面和空中单位造成<d ref="Effect,DehakaTyrannozorFanOfKnivesDamage,Amount"/>点伤害。	Feuert eine Salve Stacheln, die gegnerischen Boden- und Lufteinheiten im Umkreis des Tyrannozors <d ref="Effect,DehakaTyrannozorFanOfKnivesDamage,Amount"/> Schaden zufügen.
重型攻击猛兽。可以向一个目标冲锋，造成范围伤害并击退敌方单位。<n/><n/><c val="ffff8a">可以对地。</c>	Schwere Angriffsbestie mit einem Flächenangriff. Kann auf ein Ziel zustürmen. Dabei erleiden gegnerische Einheiten im Bereich Schaden und werden zurückgestoßen.<n/><n/><c val="ffff8a">Kann Bodeneinheiten angreifen.</c>
重型攻击猛兽。可以与另一只原始雷兽战斗获得进化。<n/><n/><c val="ffff8a">可以对地。</c>	Schwere Angriffsbestie mit einem Flächenangriff. Kann einen anderen Urultralisken bekämpfen, um sich weiterzuentwickeln.<n/><n/><c val="ffff8a">Kann Boden- und Lufteinheiten angreifen.</c>
近战攻击有<d ref="Behavior,DehakaUltraliskBash,DamageResponse.Chance*100" precision="1"/>%几率使目标昏迷。	Nahkampfangriffe haben eine Chance von <d ref="Behavior,DehakaUltraliskBash,DamageResponse.Chance*100" precision="1"/>%, das Ziel zu betäuben.
向目标位置冲锋，击退范围内的单位并造成<d ref="Effect,DehakaUltraliskCrashingChargeDamage,Amount"/>点伤害。	Stürmt auf einen Zielort zu. Einheiten in diesem Bereich werden zurückgestoßen und erleiden <d ref="Effect,DehakaUltraliskCrashingChargeDamage,Amount"/> Schaden.
两只原始雷兽对决，幸存者可以进化为一只暴龙兽。<n/><n/>重型攻击猛兽。可造成范围伤害。<n/><n/><c val="ffff8a">可以对地和对空。</c>	Zwei Urultralisken liefern sich einen Kampf um Leben und Tod, der Überlebende entwickelt sich weiter zu einem Tyrannozor.<n/><n/>Schwere Angriffsbestie mit einem Flächenangriff gegen Bodenziele.<n/><n/><c val="ffff8a">Kann Boden- und Lufteinheiten angreifen.</c>
重型攻击猛兽。可造成地面范围伤害。<n/><n/><c val="ffff8a">可以对地和对空。</c>	Schwere Angriffsbestie mit einem Flächenangriff gegen Bodenziele.<n/><n/><c val="ffff8a">Kann Boden- und Lufteinheiten angreifen.</c>
该单位在脱离战斗后可快速恢复生命值。	Diese Einheit regeneriert Trefferpunkte außerhalb des Kampfes sehr schnell.
