Amorphous Armorcloud	무정형 방어구름
Equips <c val="ffff8a">Marauder Commandos</c> with an additional weapon that deals <d ref="Effect,MagrailMunitionsDamage,Amount"/> damage to their target every <d ref="Abil,MarauderMagrailMunitions,Cost[0].Cooldown.TimeUse"/> seconds.	<c val="ffff8a">불곰 특공대</c>에게 추가 무기를 장착해 <d ref="Abil,MarauderMagrailMunitions,Cost[0].Cooldown.TimeUse"/>초마다 대상에게 <d ref="Effect,MagrailMunitionsDamage,Amount"/>의 피해를 주게 합니다.
Calls in reinforcement <c val="FFFF8A">Mercenary Medics</c>. Allows <c val="FFFF8A">Medics</c> to be trained from a <c val="FFFF8A">Barracks</c>. <c val="FFFF8A">Medics</c> are support troopers that heal nearby biological units. <c val="00FF66"><n/><n/>Applies to you and your ally.</c>	<c val="FFFF8A">용병 의무관</c> 지원 병력을 소환합니다. <c val="FFFF8A">병영</c>에서 <c val="FFFF8A">의무관</c>을 훈련시킬 수 있습니다. <c val="FFFF8A">의무관</c>은 주위의 생체 유닛을 치료하는 지원 유닛입니다.<c val="00FF66"><n/><n/>자신과 아군에게 적용됩니다.</c>
Increases the healing of the <c val="ffff8a">Raven Type-II's</c> Bio-Mechanical Repair Drone by 25% and allows it to cloak units that it is currently healing.	<c val="ffff8a">밤까마귀 타입-II</c>의 생체기계 수리 비행정의 치유량이 25%만큼 증가하고 치유 중인 유닛을 은폐시킵니다.
Allows Goliaths to target air and ground units simultaneously.	골리앗이 공중 및 지상 유닛을 동시에 대상으로 삼을 수 있습니다.
<c val="ffff8a">Goliaths</c> can target and attack ground and air units simultaneously.	<c val="ffff8a">골리앗</c>이 공중과 지상 유닛을 동시에 타격할 수 있습니다.
Allows the <c val="ffff8a">Vulture</c> to build additional Spider Mines to replace those used.	<c val="ffff8a">시체매</c>가 추가 거미 지뢰를 생산하여 사용한 분량을 보충할 수 있습니다.
Increases the cargo space of <c val="ffff8a">Bunkers</c> by 2. Also provides extra cargo space for <c val="ffff8a">Command Centers</c>.	<c val="ffff8a">벙커</c> 공간이 2칸 증가합니다. 또한 <c val="ffff8a">사령부</c>에 추가 공간을 제공합니다.
Units hit by the <c val="ffff8a">Marauder Commando</c> have temporarily slowed attack and movement speeds. Has a reduced effect on heroic units.</n></n><c val="#ColorAttackInfo">Massive units are immune.</c>	<c val="ffff8a">불곰 특공대</c>에게 적중당한 유닛의 공격 및 이동 속도가 일시적으로 감소합니다. 영웅 유닛에게는 효과가 감소합니다.</n></n><c val="#ColorAttackInfo">거대 유닛은 면역</c>
Grants <c val="ffff8a">Nova</c> detection, allowing her to see and track cloaked and burrowed enemy units.	<c val="ffff8a">노바</c>가 탐지 능력을 얻어 은폐하거나 잠복한 적 유닛을 보고, 추적할 수 있습니다.
Stuns a group of enemies and disables detection for <d ref="Behavior,FlashBangGrenade,Duration"/> seconds.	적 무리를 기절시키고 <d ref="Behavior,FlashBangGrenade,Duration"/>초 동안 탐지를 무력화시킵니다.
Obliterate a group of enemies with a pulse of psionic energy dealing <d ref="Effect,NovaGadgetPulseGrenadesDamage,Amount"/> damage.	<d ref="Effect,NovaGadgetPulseGrenadesDamage,Amount"/>의 피해를 주는 사이오닉 에너지 파동으로 적 무리를 제거합니다.
Increases Nova Attack speed by <d ref="Behavior,SuperStimNova,Modification.AttackSpeedMultiplier *100-100"/>% and Movement speed by <d ref="Behavior,SuperStimNova,Modification.MoveSpeedMultiplier *100-100"/>% and heals <d ref="Behavior,SuperStimNova,Modification.VitalRegenArray[Life]*Behavior,SuperStimNova,Duration"/> over <d ref="Behavior,SuperStimNova,Duration"/> seconds	노바의 공격 속도가 <d ref="Behavior,SuperStimNova,Modification.AttackSpeedMultiplier *100-100"/>%만큼, 이동 속도가 <d ref="Behavior,SuperStimNova,Modification.MoveSpeedMultiplier *100-100"/>%만큼 <d ref="Behavior,SuperStimNova,Duration"/>초 동안 증가하고, 지속 시간에 걸쳐 노바의 체력이 <d ref="Behavior,SuperStimNova,Modification.VitalRegenArray[Life]*Behavior,SuperStimNova,Duration"/>만큼 회복됩니다.
Increases <c val="ffff8a">Nova's</c> life regeneration rate.	<c val="ffff8a">노바</c>의 체력 재생률이 증가합니다.
Increases the range of <c val="ffff8a">Nova's</c> Penetrating Blast by 2.	<c val="ffff8a">노바</c>의 관통 산탄 사거리가 2만큼 증가합니다.
Refunds 50% of Snipe's energy cost when <c val ="ffff8a">Nova</c> uses it to kill an enemy unit.	<c val ="ffff8a">노바</c>가 저격으로 적 유닛을 처치하면 에너지 소모량의 50%를 돌려받습니다.
Stuns and disables the detection of mechanical units hit by the <c val="ffff8a">Strike Goliath's</c> anti-air attacks for <d ref="Behavior,NovaUnitLockdown,Duration"/> seconds.<n/><n/><c val="#ColorAttackInfo">Heroic units are immune.</c>	<c val="ffff8a">타격 골리앗</c>의 대공 공격에 적중당한 기계 유닛이 <d ref="Behavior,NovaUnitLockdown,Duration"/>초 동안 기절하고 탐지가 비활성화됩니다.<n/><n/><c val="#ColorAttackInfo">영웅 유닛은 면역</c>
Damage: <d ref="Effect,NovaWeaponCanisterRifleCloaked,Amount"/> (+<d ref="Effect,NovaWeaponHellfireShotgunCloaked,AttributeBonus[Light]"/> to Light), AoE Attack<n/>Range: <d ref="Weapon,NovaWeaponHellfireShotgun,Range"/><n/>Fire Rate: <d ref="Weapon,NovaWeaponHellfireShotgun,Period" precision="1"/> seconds<n/><n/>Special: Penetrating Shot	공격력: <d ref="Effect,NovaWeaponCanisterRifleCloaked,Amount"/> (경장갑 유닛에는 추가 <d ref="Effect,NovaWeaponHellfireShotgunCloaked,AttributeBonus[Light]"/>), 범위 공격<n/>사거리: <d ref="Weapon,NovaWeaponHellfireShotgun,Range"/><n/>발사 속도: <d ref="Weapon,NovaWeaponHellfireShotgun,Period" precision="1"/>초<n/><n/>특수 능력: 관통 사격
Damage: 50<n/>Range: <d ref="Weapon,NovaWeaponImprovedCanisterRifle,Range"/><n/>Fire Rate: <d ref="Weapon,NovaWeaponImprovedCanisterRifle,Period" precision="1"/> seconds<n/><n/>Special: Snipe	공격력: 50<n/>사거리: <d ref="Weapon,NovaWeaponImprovedCanisterRifle,Range"/><n/>발사 속도: <d ref="Weapon,NovaWeaponImprovedCanisterRifle,Period" precision="1"/>초<n/><n/>특수 능력: 저격
Damage: 100<n/>Range: Melee<n/>Fire Rate: 1.69 seconds<n/><n/>Special: Dash Attack	공격력: 100<n/>사거리: 근접<n/>발사 속도: 1.69초<n/><n/>특수 능력: 질주 공격
Enemies affected by the <c val="ffff8a">Oracle's</c> Stasis Ward can now be attacked.	<c val="ffff8a">예언자</c>의 정지장 수호물에 갇힌 적을 공격할 수 있습니다.
Allows <c val="ffff8a">Oracles</c> to create a wormhole at a target location. <c val="ffff8a">Oracles</c> can then teleport friendly units near them to the wormhole from across the battlefield.	<c val="ffff8a">예언자</c>가 대상 지점에 웜홀을 생성할 수 있습니다. 이후 <c val="ffff8a">예언자</c>는 주위의 아군 유닛을 전장 너머에 있는 웜홀까지 순간이동시킬 수 있습니다.
Calls in reinforcement <c val="FFFF8A">SCVs</c>. Allows <c val="FFFF8A">Perdition Turrets</c> to be built by <c val="FFFF8A">SCVs</c>. <c val="FFFF8A">Perdition Turrets</c> are anti-infantry turrets that hide while idle. <c val="00FF66"><n/><n/>Applies to you and your ally.</c>	<c val="FFFF8A">건설로봇</c> 지원 병력을 소환합니다. <c val="FFFF8A">건설로봇</c>으로 <c val="FFFF8A">지옥 포탑</c>을 건설할 수 있습니다. <c val="FFFF8A">지옥 포탑</c>은 정지한 동안 모습을 감추는 대보병 포탑입니다. <c val="00FF66"><n/><n/>자신과 아군에게 적용됩니다.</c>
Prevents <c val="ffff8a">Mirages</c> from taking damage for <d ref="Behavior,VoidPhoenixPhasingArmorBuff,Duration"/> seconds after being attacked. Cannot occur more than once every <d ref="Behavior,VoidPhoenixPhasingArmor,DamageResponse.Cost.Cooldown.TimeUse"/> seconds.	<c val="ffff8a">신기루</c>가 공격을 받은 후 <d ref="Behavior,VoidPhoenixPhasingArmorBuff,Duration"/>초 동안 피해를 받지 않습니다. <d ref="Behavior,VoidPhoenixPhasingArmor,DamageResponse.Cost.Cooldown.TimeUse"/>초마다 한 번만 발동합니다.
Transforms the Energizer to Phasing Mode and generates a power field as if it was a Pylon. The Energizer cannot move in this mode.	동력기를 위상 모드로 전환해 수정탑처럼 동력장을 생성하게 합니다. 위상 모드에서는 이동할 수 없습니다.
<c val="ffff8a">Viking</c> weapons system upgrade. Increases air attack range by 2 and ground attack range by 1.	<c val="ffff8a">바이킹</c>의 무기 체계를 업그레이드합니다. 공중 공격 사거리가 2만큼, 지상 공격 사거리가 1만큼 증가합니다.
Realigns the <c val="ffff8a">Protector's</c> Prismatic Beam to gain +<d ref="Behavior,AiurProtectorDamageBoost,Modification[0].DamageDealtAttributeScaled[Armored]"/> damage vs. Armored units.	<c val="ffff8a">보호자</c>의 분광 광선을 재배열하여, 중장갑 유닛에게 주는 피해가 <d ref="Behavior,AiurProtectorDamageBoost,Modification[0].DamageDealtAttributeScaled[Armored]"/>만큼 증가합니다.
Allows <c val="ffff8a">High Templar</c> to summon a storm of psionic energy, causing heavy damage to all enemy units in the target area.	<c val="ffff8a">고위 기사</c>가 사이오닉 에너지의 폭풍을 일으켜, 대상 지역에 있는 모든 적 유닛에게 큰 피해를 줄 수 있습니다.
Allows <c val="ffff8a">High Templar</c> and <c val="ffff8a">Archons</c> to summon a storm of psionic energy, causing heavy damage to all enemy units in the target area.	<c val="ffff8a">고위 기사</c>와 <c val="ffff8a">집정관</c>이 사이오닉 에너지의 폭풍을 일으켜, 대상 지역에 있는 모든 적 유닛에게 큰 피해를 줄 수 있습니다.
<c val="ffff8a">Ravens</c> start with full energy.	<c val="ffff8a">밤까마귀</c>가 에너지가 가득찬 상태로 시작합니다.
<c val="ffff8a">Vehicles</c> and <c val="ffff8a">ships</c> gain afterburners that increase the unit's movement speed by <d ref="(Behavior,VehicleAfterburners,Modification.MoveSpeedMultiplier - 1) * 100"/>% for <d ref="Behavior,VehicleAfterburners,Duration"/> seconds upon activation.	<c val="ffff8a">차량</c> 및 <c val="ffff8a">우주선</c>에 재연소 장치가 부착되어 가동 시 <d ref="Behavior,VehicleAfterburners,Duration"/>초 동안 이동 속도가 <d ref="(Behavior,VehicleAfterburners,Modification.MoveSpeedMultiplier - 1) * 100"/>%만큼 증가합니다.
Calls in reinforcement <c val="FFFF8A">Mercenary Reapers</c>. Allows <c val="FFFF8A">Reapers</c> to be trained from a <c val="FFFF8A">Barracks</c>. <c val="FFFF8A">Reapers</c> are fast anti-infantry attackers capable of cliff jumping.<c val="00FF66"><n/><n/>Applies to you and your ally.</c>	<c val="FFFF8A">용병 사신</c> 지원 병력을 소환합니다. <c val="FFFF8A">병영</c>에서 <c val="FFFF8A">사신</c>을 훈련시킬 수 있습니다. <c val="FFFF8A">사신</c>은 언덕을 오르내릴 수 있는 대보병 공격 유닛입니다.<c val="00FF66"><n/><n/>자신과 아군에게 적용됩니다.</c>
Enables Reapers to carry Spider Mines. Spider Mines burrow into the ground and become cloaked unless spotted with a detector or effect. When most types of enemy ground units pass nearby, the Spider Mine will unburrow, chase down the units, and detonate.	사신이 거미 지뢰를 장착합니다. 거미 지뢰는 땅속으로 파묻히며 탐지기나 탐지 효과가 아니면 적에게 발각되지 않습니다. 거미 지뢰가 설치된 지역을 적 지상 유닛이 지나가면 거미 지뢰가 지상으로 튀어나와, 유닛을 추적하여 폭발합니다.
Doubles the maximum number of <c val="ffff8a">Scarabs</c> that Reavers can hold.	파괴자가 보유 가능한 <c val="ffff8a">갑충탄</c>의 최대 개수가 2배 증가합니다.
Increases the splash damage radius of <c val="ffff8a">Scarabs</c> by 25%.	<c val="ffff8a">갑충탄</c>의 방사 피해 반경이 25%만큼 증가합니다.
<c val="ffff8a">Vehicles</c> and <c val="ffff8a">ships</c> automatically heal themselves over time.	<c val="ffff8a">차량</c> 및 <c val="ffff8a">우주선</c>이 시간이 지남에 따라 자동 수리됩니다.
Upgrades the <c val="ffff8a">Viking's</c> missiles to deal area damage.	<c val="ffff8a">바이킹</c>의 미사일이 범위 피해를 줍니다.
<c val="ffff8a">Infested Colonist Compound</c> gains 500 life and spawns an additional 8 <c val="ffff8a">Infested Civilians</c> at a time, for a total of 16.	<c val="ffff8a">감염된 거주민 수용소</c>의 체력이 500만큼 증가하고 추가로 한 번에 8기, 총 16기의 <c val="ffff8a">감염된 민간인</c>을 생성합니다.
<c val="ffff8a">Infested Colonist Compound</c> gains an additional 500 life and spawns an additional 16 <c val="ffff8a">Infested Civilians</c> at a time, for a total of 32.	<c val="ffff8a">감염된 거주민 수용소</c>의 체력이 500만큼 증가하고 추가로 한 번에 16기, 총 32기의 <c val="ffff8a">감염된 민간인</c>을 생성합니다.
<c val="ffff8a">Infested Colonist Compound</c> gains an additional 500 life and spawns an additional 32 <c val="ffff8a">Infested Civilians</c> at a time, for a total of 64.	<c val="ffff8a">감염된 거주민 수용소</c>의 체력이 500만큼 증가하고 추가로 한 번에 32기, 총 64기의 <c val="ffff8a">감염된 민간인</c>을 생성합니다.
The Infested Marine gains 100% attack and movement speed for the life of the unit.	감염된 해병이 체력이 다할 때까지 공격 속도와 이동 속도가 100%만큼 증가합니다.
<c val="ffff8a">Infested Liberators</c> instantly transform into a cloud of microscopic organisms while attacking, reducing the damage they take by <d ref="(1-Behavior,SILiberatorSwarmFormPermanentDamageResistant,DamageResponse.ModifyFraction)*100"/>%.	<c val="ffff8a">감염된 해방선</c>이 공격하는 동안 즉시 미생물 구름으로 변해, 받는 피해가 <d ref="(1-Behavior,SILiberatorSwarmFormPermanentDamageResistant,DamageResponse.ModifyFraction)*100"/>%만큼 감소합니다.
Increases the damage <c val="ffff8a">Infested Liberators</c> deal to their primary target by 100%.	<c val="ffff8a">감염된 해방선</c>이 주 대상에게 주는 피해가 100%만큼 증가합니다.
Increases the <c val="ffff8a">Brood Queen's</c> energy regeneration rate by 100%. <c val="ffff8a">Brood Queens</c> spawn with full energy.	<c val="ffff8a">무리 여왕</c>의 에너지 재생 속도가 100%만큼 증가합니다.<c val="ffff8a">무리 여왕</c>이 에너지가 가득찬 상태로 생성됩니다.
Allows <c val="ffff8a">Brood Queens</c> to immobilize enemy units and deal <d ref="(Behavior,SIQueenFungalGrowth,Duration / Behavior,SIQueenFungalGrowth,Period) * Effect,SIQueenFungalGrowthDamage,Amount"/> damage to them over <d time="4"/>, and reveal them if they are cloaked or burrowed.	<c val="ffff8a">무리 여왕</c>이 적 유닛을 이동하지 못하게 만들고 <d time="4"/>에 걸쳐 <d ref="(Behavior,SIQueenFungalGrowth,Duration / Behavior,SIQueenFungalGrowth,Period) * Effect,SIQueenFungalGrowthDamage,Amount"/>의 피해를 주며, 은폐하거나 잠복한 유닛은 모습을 드러냅니다.
The <c val="ffff8a">Spear of Adun's</c> Orbital Strike stuns enemy units in the target area for <d ref="Behavior,OrbitalStrikeStun,Duration" precision="1"/> seconds.	<c val="ffff8a">아둔의 창</c>의 궤도 폭격이 대상 지역의 적 유닛들을 <d ref="Behavior,OrbitalStrikeStun,Duration" precision="1"/>초 동안 기절시킵니다.
Allows the <c val="ffff8a">Spear of Adun's</c> Reconstruction Beam to affect <d ref="$UpgradeEffectArrayValue:SOARepairBeamExtraTarget:Effect,KaraxRepairBeamLimit,Amount$"/> additional targets.	<c val="ffff8a">아둔의 창</c>의 재구축 광선이 추가 대상에게 영향을 주어, 최대 <d ref="$UpgradeEffectArrayValue:SOARepairBeamExtraTarget:Effect,KaraxRepairBeamLimit,Amount$"/>개의 대상을 수리할 수 있습니다.
The <c val="ffff8a">Spear of Adun's</c> Solar Lance sets fire to the ground along its path, dealing <d ref="Effect,SOASolarLanceFireBeamCP,PeriodCount*Effect,ThermalLancesFireBeamDamage,Amount"/> extra damage over <d ref="Effect,SOASolarLanceFireBeamCP,PeriodCount*Effect,SOASolarLanceFireBeamCP,PeriodicPeriodArray[0]"/> seconds.	<c val="ffff8a">아둔의 창</c>의 태양의 창이 지나간 자리에 불길이 일어 <d ref="Effect,SOASolarLanceFireBeamCP,PeriodCount*Effect,SOASolarLanceFireBeamCP,PeriodicPeriodArray[0]"/>초에 걸쳐 <d ref="Effect,SOASolarLanceFireBeamCP,PeriodCount*Effect,ThermalLancesFireBeamDamage,Amount"/>의 추가 피해를 줍니다.
