Amorphous Armorcloud	無定型防護雲
Units hit by <c val ="ffff8a">Impalers</c> become tenderized. Tenderized units take <d ref="(Effect,ImpalerDehakaTenderizeDamage,Amount*Behavior,ImpalerDehakaTenderize,PeriodCount)"/> damage over <d ref="Behavior,ImpalerDehakaTenderize,Duration"/> seconds. A tenderized unit Devoured by <c val ="ffff8a">Dehaka</c> will invoke 25% of the normal cooldown time.	<c val ="ffff8a">刺獸</c>擊中的單位會被軟化。軟化的單位會在<d ref="Behavior,ImpalerDehakaTenderize,Duration"/>秒內受到<d ref="(Effect,ImpalerDehakaTenderizeDamage,Amount*Behavior,ImpalerDehakaTenderize,PeriodCount)"/>點傷害。<c val ="ffff8a">德哈卡</c>吞噬被軟化的敵人，會使吞噬的冷卻時間降低為正常冷卻時間的25%。
<c val ="ffff8a">Primal Mutalisks</c> take <d ref="Behavior,DehakaMutaliskDamageReduction,Modification.DamageTakenFraction[Melee]*(-100)" precision="1"/>% less damage while moving.	<c val ="ffff8a">原生飛螳</c>移動時受到的傷害降低<d ref="Behavior,DehakaMutaliskDamageReduction,Modification.DamageTakenFraction[Melee]*(-100)" precision="1"/>%。
<c val ="ffff8a">Primal Mutalisks</c> revive on death after a short time. Cannot occur more than once every <d ref="Behavior,DehakaMutaliskTimerBehavior,Cost.Cooldown.TimeStart"/> seconds.	<c val ="ffff8a">原生飛螳</c>會在死亡後沒多久復活。此效果每<d ref="Behavior,DehakaMutaliskTimerBehavior,Cost.Cooldown.TimeStart"/>秒只能啟動一次。
Increases <c val ="ffff8a">Ravasaur</c> movement speed and attack range.	<c val ="ffff8a">暴掠龍</c>的移動速度與攻擊距離提高。
<c val ="ffff8a">Ravasaurs</c> deal +<d ref="$UpgradeEffectArrayValue:DehakaRavasaurVSArmor:Effect,DehakaRavasaurDamage,AttributeBonus[Armored]$"/> damage to armored targets.	<c val ="ffff8a">暴掠龍</c>對重甲單位額外造成<d ref="$UpgradeEffectArrayValue:DehakaRavasaurVSArmor:Effect,DehakaRavasaurDamage,AttributeBonus[Armored]$"/>點傷害。
<c val ="ffff8a">Tyrannozors</c> grants nearby friendly units <d ref="Behavior,DehakaTyrannozorArmorAuraTarget,Modification.LifeArmorBonus"/> armor.	<c val ="ffff8a">暴虐獸</c>讓附近所有友方單位的裝甲值提高<d ref="Behavior,DehakaTyrannozorArmorAuraTarget,Modification.LifeArmorBonus"/>點。
<c val ="ffff8a">Tyrannozors</c> can unleash a Barrage of Spikes, dealing <d ref="Effect,DehakaTyrannozorFanOfKnivesDamage,Amount"/> damage to nearby enemy ground and air units.	<c val ="ffff8a">暴虐獸</c>可以發射尖刺彈幕，對附近的敵方地面及空中單位造成<d ref="Effect,DehakaTyrannozorFanOfKnivesDamage,Amount"/>點傷害。
<c val ="ffff8a">Primal Ultralisk</c> and <c val ="ffff8a">Tyrannozor</c> melee attacks have a <d ref="Behavior,DehakaUltraliskBash,DamageResponse.Chance*100" precision="1"/>% chance to stun.	<c val ="ffff8a">原生雷獸</c>與<c val ="ffff8a">暴虐獸</c>的近戰攻擊有<d ref="Behavior,DehakaUltraliskBash,DamageResponse.Chance*100" precision="1"/>%的機率使敵人昏迷。
<c val ="ffff8a">Primal Ultralisks</c> can charge to a target location, knocking back units in the area and dealing <d ref="Effect,DehakaUltraliskCrashingChargeDamage,Amount"/> damage.	<c val ="ffff8a">原生雷獸</c>衝向目標地點並且擊退範圍內的單位，造成<d ref="Effect,DehakaUltraliskCrashingChargeDamage,Amount"/>點傷害。
<c val ="ffff8a">Primal Ultralisks</c> and <c val ="ffff8a">Tyrannozors</c> regenerate life quickly when out of combat.	<c val ="ffff8a">原生雷獸</c>與<c val ="ffff8a">暴虐獸</c>脫離戰鬥後可迅速回復生命值。
Allows <c val="ffff8a">Heavy Siege Tanks</c> to deploy Spider Mines, which pursue enemy units that come in range, and detonate for heavy area damage. Buried Spider Mines can only be seen by enemy detectors.	使<c val="ffff8a">重型攻城坦克</c>可部署蜘蛛詭雷，詭雷會追蹤進入射程的敵方部隊，然後爆炸並造成大量的範圍傷害。只有敵方偵測單位能發現遁地的蜘蛛詭雷。
<c val="ffff8a">Wraiths</c> move <d ref="(Behavior,CloakDistortionField,Modification.MoveSpeedMultiplier-1)*100"/>% faster and evade <d ref="Behavior,CloakDistortionField,DamageResponse.Chance*100"/>% of incoming attacks while cloaked.	<c val="ffff8a">亡靈戰機</c>移動速度提高<d ref="(Behavior,CloakDistortionField,Modification.MoveSpeedMultiplier-1)*100"/>%，並且在匿蹤時有<d ref="Behavior,CloakDistortionField,DamageResponse.Chance*100"/>%的機率迴避攻擊。
Permanently cloaks all <c val="ffff8a">Disruptors</c>.	使所有<c val="ffff8a">裂光球</c>永久匿蹤。
The <c val="ffff8a">Disruptor's</c> Purification Nova explodes again after <d ref="Effect,FenixPurificationNovaUpgradedPersistent,PeriodicPeriodArray[0]"/> seconds, dealing <d ref="Effect,PurificationNovaUpgradedDamage,Amount"/> damage in a larger area.	<c val="ffff8a">裂光球</c>的淨化光球會在<d ref="Effect,FenixPurificationNovaUpgradedPersistent,PeriodicPeriodArray[0]"/>秒後再度爆炸，提高範圍並對位在當中的所有敵人造成<d ref="Effect,PurificationNovaUpgradedDamage,Amount"/>點傷害。
Allows <c val="ffff8a">Phoenixes</c> to cast Graviton Beam on two enemies at once.	讓<c val="ffff8a">鳳凰戰機</c>可同時對兩個敵人使用重力子光束。
<c val="ffff8a">Dragoons</c> gain +20 life and their shield regeneration rate is doubled. Also allows the Dragoon to regenerate shields in combat.	<c val="ffff8a">龍騎士</c>的生命值提高20點，護盾恢復率加倍，並且讓龍騎士可以在戰鬥中恢復護盾。
Increases the <c val="ffff8a">Dragoon's</c> attack range by 2.	<c val="ffff8a">龍騎士</c>的攻擊距離提高2格。
Enables the Concentrated Beam ability and increases the <c val="ffff8a">Drakken Laser Drill's</c> attack damage by 10.	讓你可使用集束光線，並且使<c val="ffff8a">達肯雷射鑽洞機</c>的攻擊傷害提高10點。
Enables the Pulse Cannon ability and increases the <c val="ffff8a">Drakken Laser Drill's</c> attack damage by 20.	讓你可使用脈衝加農砲，並且使<c val="ffff8a">達肯雷射鑽洞機</c>的攻擊傷害提高20點。
Extends the timed duration of Raven <c val="ffff8a">Auto-Turrets</c> and <c val="ffff8a">Point Defense Drones<c>, as well as the Hyperion's <c val="ffff8a">Point Defense Drones</c>.	延長渡鴉<c val="ffff8a">自動砲台</c>和<c val="ffff8a">定點防禦無人機<c>的持續時間，同時也延長海伯利昂號<c val="ffff8a">定點防禦無人機</c>的持續時間。
<c val="ffff8a">Energizers</c> gain the ability to temporarily take control of enemy mechanical units. Reclaimed units self-destruct after <d ref="Behavior,SentryReclamation,Duration"/> seconds.	<c val="ffff8a">強化者</c>能暫時控制敵方的機械單位。受到控制的單位會在<d ref="Behavior,SentryReclamation,Duration"/>秒後自行毀滅。
<c val="ffff8a">Colossi</c> gain +3 range.	<c val="ffff8a">巨像</c>的攻擊距離提高3格。
Grants Fenix's <c val="ffff8a">Cybros Arbiter Suit</c> detection, allowing him to detect cloaked enemies.	使菲尼克斯的<c val="ffff8a">賽博洛斯審判者機甲</c>獲得偵測能力，讓他可以偵測匿蹤的敵方單位。
In addition to his Interceptors, <c val ="ffff8a">Clorarion</c> deploys 2 Interdictors that automatically bomb enemy ground units.	除了攔截機之外，<c val ="ffff8a">庫勒瑞安</c>可部署2架會自動轟炸敵方地面單位的干擾機。
<c val="ffff8a">Mojo</c> fires a barrage of Anti-Matter Missiles, dealing area damage and stunning nearby enemy air units for <d time="[d ref='Behavior,FenixMojoScoutAirStun,Duration'/]"/>.	<c val="ffff8a">摩裘</c>發射一連串反物質飛彈，對附近敵方空中單位造成區域傷害並使其昏迷，持續<d time="[d ref='Behavior,FenixMojoScoutAirStun,Duration'/]"/>。
<c val="ffff8a">Kaldalis'</c> attacks deal area damage.	<c val="ffff8a">卡達利斯</c>的攻擊會造成範圍傷害。
<c val="ffff8a">Scouts</c> gain +3 air attack range and +1 ground attack range.	<c val="ffff8a">斥候</c>的對空攻擊距離提高3格，對地攻擊距離提高1格。
Increases the duration of the <c val="ffff8a">Conservator's</c> Protective Field by 100%.	<c val="ffff8a">保護者</c>的防護領域持續時間提高100%。
Null Shield now reflects 50% damage back to the target.	抑制之盾現在將該目標造成的50%傷害反彈回去。
All <c val="ffff8a">Fenix Armor Suits</c> gain +<d ref="$UpgradeEffectArrayValue:FenixSuitAttackDamage:Effect,FenixSOAWeaponDamage,Amount$"/> attack damage.	所有<c val="ffff8a">菲尼克斯機甲</c>的攻擊傷害提高<d ref="$UpgradeEffectArrayValue:FenixSuitAttackDamage:Effect,FenixSOAWeaponDamage,Amount$"/>點。
<c val="ffff8a">Warbringer</c> fires a devastating blast that deals <d ref="Effect,FenixWarbringerColossusPowerShotDamage,Amount" player="0"/> damage the target unit.	<c val="ffff8a">戰爭使者</c>對目標單位發射強力砲擊，造成<d ref="Effect,FenixWarbringerColossusPowerShotDamage,Amount" player="0"/>點傷害。
Upgrades the damage dealt by <c val="ffff8a">Colossi</c> and causes their attacks to set fire to the ground, dealing an additional <d ref="Effect,ThermalLancesFireBeamDamage,Amount*Effect,ThermalLancesFireBeamCP,PeriodCount"/> damage to enemy ground units in the area over <d ref="Effect,ThermalLancesFireBeamCP,PeriodCount*Effect,ThermalLancesFireBeamCP,PeriodicPeriodArray[0]"/> seconds.	升級<c val="ffff8a">巨像</c>的攻擊傷害，同時其攻擊能使目標區域起火燃燒，對範圍內的敵方地面單位額外造成<d ref="Effect,ThermalLancesFireBeamDamage,Amount*Effect,ThermalLancesFireBeamCP,PeriodCount"/>點傷害，持續<d ref="Effect,ThermalLancesFireBeamCP,PeriodCount*Effect,ThermalLancesFireBeamCP,PeriodicPeriodArray[0]"/>秒。
Calls in reinforcement <c val="FFFF8A">SCVs</c>. Prevents structure burndown and slowly repairs damaged structures to half health. <c val="00FF66"><n/><n/>Applies to you and your ally.</c>	呼叫<c val="FFFF8A">太空工程車</c>前來支援。讓建築不會焚毀，並且緩慢將受損建築恢復至一半的生命值。<c val="00FF66"><n/><n/>適用於你和盟友。</c>
All structure fires are automatically extinguished and all structures automatically repair themselves to 50% of their maximum life.	所有建築物都具有自我滅火能力，並且會自動修復至最大生命值的50%。
Calls in reinforcement <c val="FFFF8A">Mercenary Firebats</c>. Allows <c val="FFFF8A">Firebats</c> to be trained from a <c val="FFFF8A">Barracks</c>. <c val="FFFF8A">Firebats</c> are heavy anti-infantry attackers.<c val="00FF66"><n/><n/>Applies to you and your ally.</c>	呼叫<c val="FFFF8A">火焰兵傭兵</c>前來支援。可於<c val="FFFF8A">兵營</c>訓練<c val="FFFF8A">火焰兵</c>。<c val="FFFF8A">火焰兵</c>為重型反步兵單位。<c val="00FF66"><n/><n/>適用於你和盟友。</c>
<c val="ffff8a">Bunkers</c> gain +<d ref="$UpgradeEffectArrayValue:FortifiedBunkerCarapace:Unit,Bunker,LifeMax$"/> life.	<c val="ffff8a">碉堡</c>的生命值提高<d ref="$UpgradeEffectArrayValue:FortifiedBunkerCarapace:Unit,Bunker,LifeMax$"/>點。
Allows Reapers to throw timed explosives that do heavy area damage.	讓死神可投擲會在一段時間後引爆的炸彈，造成大量範圍傷害。
Anti-personnel charge with large blast radius. <c val="ffff8a">Reapers</c> eject smaller payloads in a radius for increased damage.	具有廣範圍爆炸範圍的對人用炸藥。<c val="ffff8a">死神</c>射出的炸彈體積更小，但是傷害更高。
Allows <c val="ffff8a">Spec Ops Ghosts</c> to use EMP Round, which deals <d ref="Effect,EMPBlackOpsModifyUnit,VitalArray[Shields].Change*(-1)"/> damage to shields and depletes the energy of enemy units in the target area. Cloaked units are revealed for <d ref="Behavior,EMPDecloak,Duration"/> seconds after being hit.	讓<c val="ffff8a">特種幽靈特務</c>可以使用電磁脈衝彈，對目標區域內的護盾造成<d ref="Effect,EMPBlackOpsModifyUnit,VitalArray[Shields].Change*(-1)"/>點傷害，並消耗區域內單位的所有能量。擊中匿蹤單位後，會使其現形<d ref="Behavior,EMPDecloak,Duration"/>秒。
<c val ="ffff8a">Spec Ops Ghosts</c> fire 2 additional shots that deal <d ref="Effect,Snipe_BlackOpsTripleTapDamage,Amount"/> damage each when using Snipe.	<c val ="ffff8a">特種幽靈特務</c>使用狙擊時可額外發射兩發子彈，每發造成<d ref="Effect,Snipe_BlackOpsTripleTapDamage,Amount"/>點傷害。
Calls in reinforcement <c val="FFFF8A">Mercenary Goliaths</c>. Allows <c val="FFFF8A">Goliaths</c> to be trained from a <c val="FFFF8A">Factory</c>. <c val="FFFF8A">Goliaths</c> are heavy general purpose attackers equipped with long range weapons. <c val="00FF66"><n/><n/>Applies to you and your ally.</c>	呼叫<c val="FFFF8A">巨人傭兵</c>前來支援。可於<c val="FFFF8A">軍工廠</c>建造<c val="FFFF8A">巨人</c>。<c val="FFFF8A">巨人</c>為配備長程武器的重型泛用單位。<c val="00FF66"><n/><n/>適用於你和盟友。</c>
Increases the movement speed of <c val="ffff8a">Observers</c> by 50%.	<c val="ffff8a">觀察者</c>的移動速度提高50%。
<c val="FFFF8A">Strike Fighter Platform</c> Precision Strikes ignite the target location with napalm. Enemies units that touch the napalm take an additional <d ref="Effect,HHBomberAreaBombFireDamage,Amount * (Behavior,HHBomberAreaBombFire,Duration / Behavior,HHBomberAreaBombFire,Period)"/> damage over <d ref="Behavior,HHBomberAreaBombFire,Duration"/> seconds.	<c val="FFFF8A">攻擊轟炸機平台</c>精密轟炸會以汽油彈點燃目標區域，接觸到汽油彈火焰的敵方單位會額外受到<d ref="Effect,HHBomberAreaBombFireDamage,Amount * (Behavior,HHBomberAreaBombFire,Duration / Behavior,HHBomberAreaBombFire,Period)"/>點傷害，持續<d ref="Behavior,HHBomberAreaBombFire,Duration"/>秒。
<c val="FFFF8A">Hellbat</c> attacks cause enemies to burn for an additional <d ref="Effect,HHHellionDoTDamage,Amount * Behavior,HHHellionDoT,Period * Behavior,HHHellionDoT,Duration"/> damage over <d ref="Behavior,HHHellionDoT,Duration"/> seconds.	<c val="FFFF8A">惡狼</c>的攻擊會使敵人燃燒，額外造成<d ref="Effect,HHHellionDoTDamage,Amount * Behavior,HHHellionDoT,Period * Behavior,HHHellionDoT,Duration"/>點傷害，持續<d ref="Behavior,HHHellionDoT,Duration"/>秒。
<c val="FFFF8A">Hellbat</c> movement speed is increased by <d ref="$UpgradeEffectArrayValue:HHHellionFearDeath:Unit,HHHellionTank,Speed$/Unit,HHHellionTank,Speed*100" player="0"/>%. When <c val="FFFF8A">Hellbats</c> are killed, they ignite the surrounding area. Enemies in the fire run around in fear for <d ref="Behavior,HHHellionTankFear,Duration"/> seconds.	<c val="FFFF8A">戰狼</c>的移動速度提高<d ref="$UpgradeEffectArrayValue:HHHellionFearDeath:Unit,HHHellionTank,Speed$/Unit,HHHellionTank,Speed*100" player="0"/>%。<c val="FFFF8A">戰狼</c>死亡時會點燃附近區域，在火焰區域內的敵人會因恐懼而四處逃跑，持續<d ref="Behavior,HHHellionTankFear,Duration"/>秒。
<c val="FFFF8A">Hellions</c> and <c val="FFFF8A">Hellbats</c> transform 75% faster. When <c val="FFFF8A">Hellions</c> are killed, nearby allied units gain <d ref="(Behavior,HHHellionStimDeath,Modification.MoveSpeedMultiplier - 1) * 100"/>% movement and <d ref="(Behavior,HHHellionStimDeath,Modification.AttackSpeedMultiplier - 1) * 100"/>% attack speed for <d ref="Behavior,HHHellionStimDeath,Duration"/> seconds.	<c val="FFFF8A">惡狼</c>和<c val="FFFF8A">戰狼</c>的變形速度提高75%。<c val="FFFF8A">惡狼</c>死亡時，附近友方單位的移動速度提高<d ref="(Behavior,HHHellionStimDeath,Modification.MoveSpeedMultiplier - 1) * 100"/>%，攻擊速度提高<d ref="(Behavior,HHHellionStimDeath,Modification.AttackSpeedMultiplier - 1) * 100"/>%，持續<d ref="Behavior,HHHellionStimDeath,Duration"/>秒。
